docket_no,sub_no,date_filed,date_entered,event_type,title,filed_by,issuing_judge,operative_language,disposition,affects_deadline_ids,attachments,source_id,pinpoint,verification_status,notes
1,,2026-04-15,UNVERIFIED,removal,Notice of Removal,"MEB Loan Trust VIII; NewRez LLC d/b/a Shellpoint (McCalla Raymer consenting)",n/a,"On April 15, 2026, Defendants removed the case to this federal district court based upon federal causes of action alleged in Plaintiffs' Verified Complaint.",n/a,n/a,1-1 (state court record); 1-2 (McCalla consent),SRC-010,Doc. 34 at 8,inferred-from-another-filing,"Known only from Doc. 34 and Doc. 35; the notice itself was not read."
1,1,2026-04-15,UNVERIFIED,other,State court record attached to Notice of Removal,Defendants,n/a,"See Doc. 1-1 at 6-21 (the state-court Complaint).",n/a,n/a,n/a,SRC-011,Doc. 35 at 2,inferred-from-another-filing,"Doc. 34 cites Dkt. 1-1 for the Verified Complaint; Doc. 35 cites Doc. 1-1 at 6-21 for the Complaint. Whether these are the same document is not resolved - see Doc. 25/26 below."
1,2,2026-04-15,UNVERIFIED,other,Consent to removal (McCalla Raymer),"McCalla Raymer Leibert Pierce, LLP",n/a,"Defendants removed the action, with McCalla's consent, see Doc. 1-2.",n/a,n/a,n/a,SRC-011,Doc. 35 at 2,inferred-from-another-filing,"Doc. 34 at 24 notes a typographical defect (wrong case number in the body of the Consent), cured by the May 12 2026 filing opposing remand."
4,,2026-03-30,UNVERIFIED,motion,Motion to Dismiss,MEB Loan Trust VIII and NewRez LLC d/b/a Shellpoint,n/a,"Defendants' motions to dismiss, Docs. 4, 5, are DENIED AS MOOT with leave to seek dismissal of Plaintiffs' anticipated amended complaint or to seek dismissal if Plaintiffs fail to file an amended complaint as directed.",denied-as-moot,DL-001,n/a,SRC-011,Doc. 35 at 1 and at 9,inferred-from-another-filing,"Filed in state court 2026-03-30; re-docketed at Doc. 4 on removal (Doc. 34 at 8 n.5)."
5,,2026-03-30,UNVERIFIED,motion,Motion to Dismiss,"McCalla Raymer Leibert Pierce, LLP",n/a,"Defendants' motions to dismiss, Docs. 4, 5, are DENIED AS MOOT ...",denied-as-moot,DL-001,n/a,SRC-011,Doc. 35 at 1 and at 9,inferred-from-another-filing,"Filed in state court 2026-03-30; re-docketed at Doc. 5 on removal."
7,,2026-04-15,UNVERIFIED,response,Supplemental Brief In Opposition To Defendants' Motions To Dismiss,Plaintiffs,n/a,"Plaintiffs filed a 'Supplemental Brief In Opposition To Defendants' Motions To Dismiss' on April 15th. Doc. 7.",n/a,n/a,n/a,SRC-011,Doc. 35 at 2,inferred-from-another-filing,"Doc. 35 at 2 n.1 notes the record does not show a prior response, so the 'supplemental' label is unexplained."
10,,2026-04-17,UNVERIFIED,order,Order denying request for Temporary Restraining Order,n/a,"Hon. Steve C. Jones, U.S. District Judge","On April 17, 2026, Plaintiffs' request for a Temporary Restraining Order was denied by the Honorable Steve C. Jones, U.S. District Judge. [Dkt. 10].",denied,n/a,n/a,SRC-010,Doc. 34 at 8,inferred-from-another-filing,"Judge Jones is not the presiding judge of record on the caption (2:26-cv-00110-RWS-AWH); the earlier caption 2:26-cv-00110-SCJ-AWH suggests initial assignment to Judge Jones before reassignment at Doc. 24. Not resolved from these sources."
11,,2026-04-22,UNVERIFIED,answer,"Answer to Plaintiffs' Verified Complaint (reincorporating the prior Motion to Dismiss)","MEB, Shellpoint, Specialized Loan Servicing LLC n/k/a NewRez LLC d/b/a Shellpoint Mortgage Servicing, Achieve Home Loans, and MERS",n/a,"Defendants ... filed their answer to Plaintiffs' Complaint on April 22, 2026, Doc. 11.",n/a,n/a,n/a,SRC-011,Doc. 35 at 3,inferred-from-another-filing,"Note the answering parties include 'Achieve Home Loans', which Defendants elsewhere say is a separate entity erroneously named."
13,,UNVERIFIED,UNVERIFIED,motion,Motion for Remand,Plaintiffs,n/a,"it is ORDERED that Plaintiffs' Motion for Remand [Dkt. 13] is DENIED.",denied,n/a,n/a,SRC-010,Doc. 34 at 26,verified-from-document,"The disposition is quoted from the order itself; the motion's own filing date is not stated in either order."
15,,UNVERIFIED,UNVERIFIED,motion,Motion for Preliminary Injunction,Plaintiffs,n/a,"Plaintiffs' Motions for Preliminary Injunction [Dkt. 15] and for 'Conditional Oral Hearing ...' [Dkt. 32] are DENIED as MOOT.",denied-as-moot,n/a,n/a,SRC-010,Doc. 34 at 26,verified-from-document,"Denied as moot because no foreclosure sale was scheduled - not on the merits."
24,,2026-05-07,UNVERIFIED,notice,Reassignment of civil action to the undersigned,n/a,n/a,"This civil action was reassigned to the undersigned on May 7, 2026 [Dkt. 24].",n/a,n/a,n/a,SRC-010,Doc. 34 at 8,inferred-from-another-filing,"Reassignment to Judge Story; consistent with the caption change from -SCJ- to -RWS-."
25,,2026-05-07,UNVERIFIED,order,"Order directing Defendants to file an Amended Notice of Removal and supply the complete state-court record",n/a,"Hon. Anna W. Howard, U.S. Magistrate Judge","On May 7, 2026, the Honorable Anna W. Howard, U.S. Magistrate Judge, ordered Defendants to file an Amended Notice of Removal and to supply this Court with a complete record of the underlying state court proceedings. [Dkt. 25].",granted,n/a,n/a,SRC-010,Doc. 34 at 9,inferred-from-another-filing,"Doc. 34 at 21 notes this order does not list Lendage as a named defendant."
26,,2026-05-12,UNVERIFIED,removal,Amended Notice of Removal,Defendants,n/a,"On May 12, 2026, Defendants filed the Amended Notice of Removal [Dkt. 26].",n/a,n/a,26-1 (Verified Complaint at 4-31; state court orders at 102-105 and 107-109); 26-3 (Exhibit C - SLS/NewRez merger),SRC-010,Doc. 34 at 9,inferred-from-another-filing,"Doc. 35 at 7 cites Doc. 26-1 at 18-29 for the operative Complaint's Counts."
