proposition_id,proposition,proposition_type,related_claim_ids,related_issue_ids,supporting_source_ids,supporting_pinpoints,what_the_document_actually_shows,what_is_claimed_from_it,gap_between_the_two,contrary_source_ids,epistemic_label,proof_status,admissibility_concerns,confidence,notes
PROP-001,"The HELOC was originated in July 2022 by Lendage, LLC in the amount of $149,650.00",background,CLM-004;CLM-006;CLM-007,OFQ-3,SRC-010;SRC-013,"Doc. 34 at 3 n.4; ledger p.5 row 08/05/22","Doc. 34 states it as background; the ledger books an opening principal balance of $149,650.00 on 08/05/22","That a $149,650.00 loan was made and funded","The ledger shows a BALANCE was established. It does not show that $149,650.00 in proceeds was delivered to anyone. Those are different facts, and the difference is exactly what Judge Bagley said the claims turn on.",n/a,[COURT-FOUND],supported,"The ledger is a business record requiring a custodian if offered by Plaintiffs; Doc. 34 is judicially noticeable as a court record but its background footnote is not a finding",high,"The distinction in the gap column is the organizing point of the funding analysis."
PROP-002,"HELOC loan proceeds were actually delivered to Plaintiffs or their creditors, on identified dates and in identified amounts",element-fact,CLM-004;CLM-006;CLM-009,OFQ-3,n/a,n/a,"NOTHING IN THIS MANIFEST SPEAKS TO THIS. No closing statement, settlement statement, wire confirmation, disbursement schedule, or creditor payoff confirmation is among the sources.","That the loan was funded (Defendants' implicit position) or that it was not (a theory implicit in Plaintiffs' fraud allegations)","Total. The court identified this as the question on which many claims depend, and the record before this system contains no evidence either way.",n/a,[UNRESOLVED],unsupported,"n/a - no document",high,"Confidence high that the record is silent, which is itself the finding. See GAP-001. Any assertion in either direction on the present record would be invented."
PROP-003,"MERS transferred its interest in the Security Deed to MEB Loan Trust VIII in 2024",element-fact,CLM-006;CLM-007;CLM-009,n/a,SRC-010,Doc. 34 at 3 n.4,"The court's background footnote states that 'In 2024, MERS transferred interest in the Security Deed to MEB Loan Trust VIII'","That MEB holds the security deed and has authority to foreclose (Defendants) or that the assignment is void and MEB lacks standing (Plaintiffs)","Large. The footnote records that a transfer occurred; it says nothing about the assignment's validity, the chain of note indorsements, or authority to exercise the power of sale. The recorded assignment itself is not in this manifest, so neither its recitals nor its execution can be examined.",n/a,[COURT-FOUND],supported,"The recorded instrument would be self-authenticating; the footnote is not the instrument",medium,"A background footnote in an order deciding a remand motion is weak support for a contested ownership question. Obtain the recorded assignment."
PROP-004,"Plaintiffs remitted a $5,200.00 wire payment that Defendants received and failed to credit",element-fact,CLM-001;CLM-003;CLM-004,OFQ-2,n/a,n/a,"No source in this manifest shows a $5,200.00 payment. The servicer's 5-page ledger, which records suspense and unapplied credits as small as $71.78 and as large as $19,588.88, contains no $5,200.00 entry in any column or period.","That Plaintiffs performed under the contract and that Defendants misapplied or diverted a payment - the factual core of the breach, RESPA payment-application, and FDCPA theories","Total, and adverse. This is not merely an unsupported allegation; the document a factfinder would consult first affirmatively does not contain it.",SRC-013,[ALLEGED],contradicted,"n/a - no document to admit",high,"See CON-001 and GAP-002. This is the highest-priority factual gap in the matter."
PROP-005,"Plaintiffs submitted qualifying Notices of Error and Requests for Information to Shellpoint at its designated address",element-fact,CLM-001,n/a,SRC-012,"letter, notices page","The 03/02/2026 letter identifies the designated error-resolution address as 'SLS Default - SMS P.O. Box 10826 Greenville, SC 29603-0826' and responds to a CFPB-portal complaint","That RESPA's notice-of-error machinery was triggered and Shellpoint failed to comply","Large. The letter establishes what the designated address IS. It does not establish that any NOE or RFI was sent there. No NOE or RFI document is in this manifest, and the only documented channel is the CFPB portal - which is not the designated address.",n/a,[ALLEGED],pleaded-only,"n/a - no document",high,"Whether CFPB-portal routing satisfies 12 C.F.R. 1024.35(c) is a legal question, not a factual one, and should be researched before the claim is repleaded. See GAP-003."
PROP-006,"Defendants furnished inaccurate data to the consumer reporting agencies and failed to investigate reasonably after CRA notice",element-fact,CLM-002,n/a,n/a,n/a,"No credit report, tradeline printout, ACDV form, e-OSCAR record, or dispute response is in this manifest. The specific figures pleaded (a $0.00 balance with $25,495.00 past due in November 2024; a $173,839.00 balance on a $149,650.00 limit in October 2025) appear only in the pleading.","That the furnished data was facially impossible and that the 1681s-2(b) duty was triggered and breached","Total as to the data, and as to the CRA-notice element, which 1681s-2(b) requires. One partially corroborating thread exists: the ledger shows principal fixed at $140,288.02 from 12/21/23 onward, so a reported balance of $173,839.00 would not match the servicer's own principal - but total debt including interest and fees might, and the ledger does not compute accrued interest.",n/a,[ALLEGED],pleaded-only,"n/a - no document",high,"See GAP-004. Note SRC-012 records a Shellpoint statement that it 'places a hold on credit reporting on any mortgage account for which a dispute is received' - a party statement that may be useful on the furnishing timeline."
PROP-007,"NewRez LLC d/b/a Shellpoint is a debt collector within the meaning of 15 U.S.C. 1692a(6)",element-fact,CLM-003,n/a,SRC-012,"letter, notices page","Shellpoint's own letter states: 'Newrez LLC dba Shellpoint Mortgage Servicing is a debt collector. This is an attempt to collect a debt and any information obtained will be used for that purpose.'","That Shellpoint is subject to the FDCPA","Small. A party's own FDCPA disclosure is strong evidence of its self-characterization and is a party admission. It is not conclusive of the legal status, which turns on the statutory definition and on whether the debt was in default when acquired - but it is very good support.",n/a,[VERIFIED],proved-by-document,"Party admission under Fed. R. Evid. 801(d)(2); authentication straightforward as a document produced by the party",high,"One of the few propositions in this matter that is genuinely well supported on the present record."
PROP-008,"Foreclosure-related fees and costs were charged to the account from May 2024 through February 2026 while no payment was applied",element-fact,CLM-001;CLM-003;CLM-004,n/a,SRC-013,"pp.1-3, rows dated 05/06/24 through 02/27/26","The ledger records a continuous series of Property Inspection, Title, Attorney, FC Costs, Certified Mail, and BPO/Appraisal disbursements from 05/06/24 through 02/27/26, with principal frozen at $140,288.02 throughout, an ending Late Charge Balance of $624.00, and an ending Unapplied Balance of $1,899.56","That Defendants extracted fees while refusing to apply tendered funds","Moderate. The charges and the frozen principal are exactly what the document shows. That the fees were UNAUTHORIZED, or that funds were wrongly withheld from application, is not shown - the ledger also shows three of the four 2025 web payments were reversed with NSF events, which would ordinarily justify non-application.",n/a,[VERIFIED],supported,"Business record; custodian needed if Plaintiffs offer it",high,"The one payment that was NOT reversed - $1,899.56 on 05/17/25 - sat in suspense and still appears as the ending Unapplied Balance ten months later. That single retained-but-unapplied payment is a cleaner RESPA payment-application fact than the $5,200.00 wire, and it is documented."
PROP-009,"A binding loan modification agreement was executed and Defendants repudiated it",element-fact,CLM-004;CLM-005,n/a,n/a,n/a,"No loan modification agreement, approval letter, trial-plan document, or loss-mitigation denial is in this manifest. Doc. 34 at 3 n.4 states the opposite direction: 'Loss mitigation efforts explored between Shellpoint and Plaintiffs dating back to August 2024 have been unsuccessful.'","That Plaintiffs were contractually protected and that foreclosure breached an executed agreement","Total, and the only judicial statement in the record points the other way.",SRC-010,[ALLEGED],contradicted,"n/a - no document",high,"See GAP-005. A dual-tracking theory under 12 C.F.R. 1024.41 also requires a COMPLETE loss-mitigation application, which is likewise undocumented here."
PROP-010,"Defendants published false foreclosure advertisements causing special damages",element-fact,CLM-006,n/a,n/a,n/a,"No published notice of sale, no legal-organ advertisement, and no document evidencing the Mercer Advisors offer or its rescission is in this manifest.","That the attempted-wrongful-foreclosure elements are met","Total on both the publication and the special-damages elements. Georgia's attempted wrongful foreclosure tort requires a published false advertisement AND special damages; neither is documented.",n/a,[ALLEGED],pleaded-only,"n/a - no document",high,"See GAP-007 and GAP-008. The employment offer and its rescission are documentable facts that the client should be able to supply directly."
