claim_id,claim_short_name,count_no,legal_basis,defendant,element,element_source,pleaded_paragraphs,pleaded_facts_summary,against_whom_explicit,evidentiary_support,element_status,strongest_attack,defect_ids,survival_assessment,curability,confidence,notes
CLM-001,RESPA fee-error and payment application,I,12 U.S.C. 2605; 12 C.F.R. 1024.35,ENT-004,Defendant is a servicer of a federally related mortgage loan,UNRESEARCHED - taken from the pleading's own 'Elements' recital at SRC-021 and NOT independently verified against controlling authority. Route to legal-research-paralegal before relying on this element list.,"PP 11-13, 24-27",Shellpoint boarded the loan 07/07/24 and has serviced continuously since,yes,SRC-013;SRC-012,supported,None serious on this element; servicer status is effectively conceded by the Witt Letter and the ledger.,,likely-survives,n/a,medium,
CLM-001,RESPA fee-error and payment application,I,12 U.S.C. 2605; 12 C.F.R. 1024.35,ENT-004,A qualifying notice of error was received at the servicer's designated address,UNRESEARCHED - taken from the pleading's own 'Elements' recital at SRC-021 and NOT independently verified against controlling authority. Route to legal-research-paralegal before relying on this element list.,PP 33-36,Ten QWR/NOE/RFI inquiries alleged; thirteen boilerplate acknowledgments alleged,yes,none-in-record,gap,"No NOE or RFI document is in the record and the only documented channel is the CFPB portal, which SRC-012 shows is NOT the designated address ('SLS Default - SMS P.O. Box 10826'). Defendants will argue the notice duty was never triggered.",PD-07,likely-dismissed,curable-only-with-evidence,high,THE DECISIVE GAP ON THE RESPA COUNTS. GAP-003. The pleading asserts ten inquiries; not one is in the manifest.
CLM-001,RESPA fee-error and payment application,I,12 U.S.C. 2605; 12 C.F.R. 1024.35,ENT-004,A covered error occurred (failure to apply a payment; imposition of a fee without a reasonable basis),UNRESEARCHED - taken from the pleading's own 'Elements' recital at SRC-021 and NOT independently verified against controlling authority. Route to legal-research-paralegal before relying on this element list.,PP 27-32,"Four TPP tenders of $1,899.56; $1,899.56 retained unapplied for ten months; $8,408.74 in fees against frozen principal",yes,SRC-013,supported,Three of the four tenders were reversed with NSF entries on the ledger's own face - a complete innocent explanation for their non-application. Defendants will lead with this.,,contested,n/a,high,Only the unreversed 05/17/25 tender is unexplained. It is documented and it is the strongest fact in the matter. DISP-003.
CLM-001,RESPA fee-error and payment application,I,12 U.S.C. 2605; 12 C.F.R. 1024.35,ENT-004,"Actual damages, or a pattern or practice",UNRESEARCHED - taken from the pleading's own 'Elements' recital at SRC-021 and NOT independently verified against controlling authority. Route to legal-research-paralegal before relying on this element list.,PP 48-53,"Fee accumulation, credit harm, lost employment alleged",yes,none-in-record,pleaded-only,No document evidences the employment loss or its causation. Damages will be attacked as speculative.,PD-11,contested,curable-only-with-evidence,high,GAP-008.
CLM-001,RESPA fee-error and payment application,I,12 U.S.C. 2605; 12 C.F.R. 1024.35,ENT-005,A covered error occurred during THIS defendant's servicing tenure,UNRESEARCHED - taken from the pleading's own 'Elements' recital at SRC-021 and NOT independently verified against controlling authority. Route to legal-research-paralegal before relying on this element list.,"PP 24, 30-31","The $10,000 reversal (09/2023) and the $855 in-and-out (09-10/2023) both occurred while SLS serviced",yes,SRC-013,supported,"SLS merged into NewRez in May 2024 per SRC-010 Doc. 34 at 1 n.1, so Defendants will argue SLS is not separately suable and that the caption's 'd/b/a Achieve Home Loans' names a different entity entirely.",PD-06,contested,curable-by-redraft,medium,"IMPORTANT TIMING POINT THE PLEADING GETS WRONG: SRC-021 P31 attributes the $855 rejection to SHELLPOINT. The ledger marks both rows 'PriorServicer' and they predate Shellpoint's 07/07/24 boarding by ten months. Misattributed defendant - curable by redraft, and damaging if left."
CLM-003,FDCPA,VII,"15 U.S.C. 1692e, 1692f",ENT-004,Defendant is a debt collector within 15 U.S.C. 1692a(6),UNRESEARCHED - taken from the pleading's own 'Elements' recital at SRC-021 and NOT independently verified against controlling authority. Route to legal-research-paralegal before relying on this element list.,P 25,Shellpoint acquired servicing 07/07/24 when the loan was already treated as due for 01/01/24,yes,SRC-012;SRC-013,proved,"Servicer-not-debt-collector is the standard defense, but it is weak here: Shellpoint's own letter says 'is a debt collector', and its own ledger shows it boarded the loan after its own reckoning of default.",,likely-survives,n/a,high,"BEST-SUPPORTED ELEMENT IN THE MATTER. Party admission + boarding record + default reckoning, all from the defendant's own documents. AUTH-004."
CLM-003,FDCPA,VII,"15 U.S.C. 1692e, 1692f",ENT-004,"A false, deceptive or misleading representation in connection with collection",UNRESEARCHED - taken from the pleading's own 'Elements' recital at SRC-021 and NOT independently verified against controlling authority. Route to legal-research-paralegal before relying on this element list.,"PP 37, 42-47",The 12/26/25-01/06/26 four-letter sequence; the 03/02/26 'unable to accommodate' statement followed by voluntary postponement,yes,SRC-012;SRC-010,supported,"'Unable to accommodate your request' plausibly means unwilling at the borrower's request rather than incapable, and the state-court TRO intervened between the letter and the postponement. The innocent reading is strong.",,contested,n/a,medium,CON-005. Impeachment material at minimum; whether actionable under 1692e is UNRESEARCHED (ISS-008).
CLM-003,FDCPA,VII,"15 U.S.C. 1692e, 1692f",ENT-004,Within the one-year limitations period of 15 U.S.C. 1692k(d),UNRESEARCHED - taken from the pleading's own 'Elements' recital at SRC-021 and NOT independently verified against controlling authority. Route to legal-research-paralegal before relying on this element list.,PP 37-47,Conduct pleaded from 2023 through 2026,yes,SRC-012;SRC-013,gap,"Suit was filed 03/02/2026. Every communication pleaded before 03/02/2025 is facially time-barred absent a continuing-violation or discovery theory, neither of which is pleaded.",PD-12,contested,curable-by-redraft,high,The pleading dates its own early conduct into a bar. Narrowing the FDCPA count to post-03/02/2025 conduct - which includes the entire 2025 TPP sequence and the whole four-letter sequence - removes the issue without losing anything material. ISS-007.
CLM-006,Wrongful and attempted wrongful foreclosure,VIII,Georgia law,ENT-003,A published false advertisement of foreclosure,UNRESEARCHED - taken from the pleading's own 'Elements' recital at SRC-021 and NOT independently verified against controlling authority. Route to legal-research-paralegal before relying on this element list.,PP 37-47,Foreclosure sale scheduled for 03/03/2026 and advertised,yes,none-in-record,gap,No published notice of sale is in the record. The publication element is the core of the tort and is undocumented.,PD-08,likely-dismissed,curable-only-with-evidence,high,GAP-007. Newspaper legal notices are public and retrievable without discovery.
CLM-006,Wrongful and attempted wrongful foreclosure,VIII,Georgia law,ENT-003,Special damages proximately caused by the publication,UNRESEARCHED - taken from the pleading's own 'Elements' recital at SRC-021 and NOT independently verified against controlling authority. Route to legal-research-paralegal before relying on this element list.,PP 48-53,Lost Mercer Advisors offer alleged,yes,none-in-record,gap,"No offer letter, no rescission, no adverse-action notice. The largest damages figure in the case rests on an allegation.",PD-11,likely-dismissed,curable-only-with-evidence,high,GAP-008.
