issue_id,issue_type,question,why_it_matters,related_claim_ids,jurisdiction,current_answer,answer_basis,epistemic_label,status,owner_skill,assignment_ids,confidence,notes
ISS-001,procedural,"Was an amended complaint filed in 2:26-cv-00110-RWS-AWH on or before 2026-08-21?","Determines whether the case is alive and what the operative pleading is; every other question is contingent on it",DEF-001,"N.D. Ga.","UNVERIFIED - no available source establishes it either way","CourtListener docket record SRC-014 contains zero entries; no PACER access in this session",[UNRESOLVED],blocked,human,ASSIGN-CARRELHA-2026-001,high,"HD-1. Blocking. 31 days past the deadline as of 2026-09-21."
ISS-002,procedural,"Is the draft at SRC-001 the document that was filed, if any was?","Sections 1, 3 and 6 of the consolidated report analyse SRC-001; if a different version was filed those analyses describe a draft",DEF-001,"N.D. Ga.","UNVERIFIED","SRC-001 carries unfilled signature and verification placeholders",[UNRESOLVED],blocked,human,ASSIGN-CARRELHA-2026-001,high,"HD-2. Blocking."
ISS-003,legal,"Does the First Amended Complaint's practice of realleging 'Paragraphs 1 through 46' in each Count satisfy the Doc. 35 directive and Eleventh Circuit shotgun-pleading law?","Determines whether the amended pleading cures or repeats the defect, with dismissal cautioned for non-compliance",DEF-001,"Eleventh Circuit; Fed. R. Civ. P. 8(a), 10(b)","Yes as to structure. Weiland, 792 F.3d at 1324, holds that realleging a block of factual paragraphs without incorporating preceding counts is NOT a type-one shotgun pleading. The rendering is separately defective because numbering restarts by section.","Weiland opened and read; passage located by literal search with star pagination confirmed",[LEGAL-CONCLUSION],answered,legal-research-paralegal,ASSIGN-CARRELHA-2026-003,medium,"Citator-limited medium. OLQ-1 resolved."
ISS-004,legal,"Has the Eleventh Circuit resolved, since Vibe Micro (2018), the pro se question that decision's footnote 6 expressly reserved?","Sets the actual dismissal risk if a second pleading is held deficient; Vibe Micro's holding is stated for counselled litigants only",DEF-001,"Eleventh Circuit","UNVERIFIED - not researched; no commercial database access in this session","Vibe Micro, 878 F.3d at 1308 n.6, read and quoted",[UNRESOLVED],open,legal-research-paralegal,n/a,high,"The single most valuable open research question in this matter. Wave 2."
ISS-005,legal,"Does the $1,899.56 payment received 2025-05-17, never reversed and never applied, state a payment-application error under 12 C.F.R. 1024.35?","It is the strongest documented payment fact in the matter and comes from the defendants' own record; it is a candidate to replace the unsupported $5,200.00 theory",CLM-001,"Federal; 12 C.F.R. 1024.35","Not yet researched",n/a,[UNRESOLVED],blocked,legal-research-paralegal,n/a,high,"WAVE 2 - blocked on RESULT-CARRELHA-2026-002-evidence, now delivered, so this is issuable. This is the task the orchestrator failed to record at plan time (defect D-05); recorded here on correction."
ISS-006,legal,"Does routing a dispute through the CFPB complaint portal satisfy the requirement that a notice of error be sent to the servicer's designated address under 12 C.F.R. 1024.35(c)?","Determines whether RESPA's notice-of-error machinery was triggered at all; the only documented channel is the portal",CLM-001,"Federal; 12 C.F.R. 1024.35(c), 1024.36","Not yet researched",n/a,[UNRESOLVED],blocked,legal-research-paralegal,n/a,high,"WAVE 2 - blocked on the evidence result, which established the designated address at SRC-012."
ISS-007,legal,"Is the FDCPA one-year limitations period under 15 U.S.C. 1692k(d) a bar to conduct before 2026-03-02, and does any continuing-violation or discovery theory apply?","Determines the reach of the FDCPA count, which is otherwise one of the better-supported claims",CLM-003,"Eleventh Circuit; 15 U.S.C. 1692k(d)","Not yet researched",n/a,[UNRESOLVED],blocked,legal-research-paralegal,n/a,high,"WAVE 2 - needs the dated conduct from the chronology, now delivered."
ISS-008,legal,"Is Shellpoint's 2026-03-02 statement that it was 'unable to accommodate' postponement of the 2026-03-03 sale, followed by a voluntary postponement within a day, actionable under 15 U.S.C. 1692e, or is it impeachment material only?","Evidence classified it impeachment-only; that is a legal judgment the evidence specialist is not positioned to make",CLM-003,"Eleventh Circuit; 15 U.S.C. 1692e","Not yet researched; both classifications carried in the report",n/a,[UNRESOLVED],open,legal-research-paralegal,n/a,medium,"Raised by reconciliation R-4 (significance-level conflict)."
ISS-009,legal,"Were Plaintiffs' Rule 34 requests dated 2026-08-19 served before any Rule 26(f) conference, and if so what follows under Rule 26(d)(1)?","SRC-004 Instruction B refers to the Rule 26(f) conference in the future tense; premature discovery is subject to objection",n/a,"Fed. R. Civ. P. 26(d)(1), 26(f); N.D. Ga. L.R. 16, 26","Not yet researched; whether the requests were served is also unestablished",n/a,[UNRESOLVED],open,legal-research-paralegal,n/a,medium,"OLQ-4. Needs the docket (ISS-001) to confirm whether a conference occurred."
ISS-010,legal,"May Plaintiffs add Lendage, LLC as a defendant by including it in an amended complaint's caption, without moving under Rule 15 or 21, where no count is asserted against it?","Doc. 34 at 21 held Lendage is not a defendant; a caption-only defendant invites a Rule 8 notice objection",DEF-001,"Eleventh Circuit; Fed. R. Civ. P. 10(a), 15, 21","Not yet researched",n/a,[UNRESOLVED],open,legal-research-paralegal,n/a,medium,"OLQ-2. HD-11 asks the human to decide the underlying litigation question."
