gap_id,missing_item,why_believed_to_exist,what_it_would_prove,related_proposition_ids,related_claim_ids,likely_custodian,acquisition_route,priority,blocking,status,notes
GAP-001,"The origination and closing file: closing disclosure/settlement statement, disbursement schedule, closing-attorney trust-account records, wire confirmations, and creditor payoff confirmations","Every closed mortgage loan generates these. SRC-004 Requests 1, 2, 17 and 18 seek exactly these documents, which indicates Plaintiffs also believe they exist. Judge Bagley expressly said the court needs 'the dates of delivery and the value of loan proceeds delivered' (SRC-010 at 7).","Whether HELOC proceeds were actually delivered, to whom, when, and in what amounts - the question the state court identified as controlling many claims",PROP-001;PROP-002,CLM-004;CLM-006;CLM-009,Lendage LLC; the closing attorney; the title/settlement agent; Plaintiffs' own closing packet,client-file then discovery-request,1,yes,open,Plaintiffs should have received a closing packet at origination. This is the cheapest and highest-value gap to close and does not require discovery.
GAP-002,"Proof of the $5,200.00 wire: the sending bank's wire confirmation or MT-103, and the complete servicing transaction file for BOTH loan numbers from BOTH servicers","SRC-001 pleads the payment as 'verified', which implies the client holds a confirmation. A wire leaves a record at the sending institution.","Whether the payment was made, when, to whom, and what became of it - the performance element of the breach claim and the factual core of the payment-application theories",PROP-004,CLM-001;CLM-003;CLM-004,Plaintiffs' bank; SLS; Shellpoint,client-file then discovery-request,1,yes,open,"See CON-001. Until this is produced, the $5,200.00 allegation should not be repleaded as a 'verified' payment. If the client cannot produce it, the theory should be replaced by PROP-013, which is documented."
GAP-003,"The Notices of Error and Requests for Information themselves, with proof of delivery to the designated address, and all servicer acknowledgments and substantive responses","SRC-001 pleads that multiple NOEs and RFIs were sent. SRC-012 identifies the designated address, and SRC-004 Request 11 seeks all QWRs and responses.","Whether RESPA's notice-of-error machinery was triggered at all, and whether responses were timely and adequate",PROP-005,CLM-001,Plaintiffs' own sent file; Shellpoint; SLS,client-file then discovery-request,2,yes,open,"The delivery address matters: CFPB-portal routing may not satisfy 12 C.F.R. 1024.35(c). Note also the 01/16/2026 Shellpoint response, listed as an enclosure to SRC-005 but not produced."
GAP-004,"Credit reports for the relevant periods, the disputed tradelines, all ACDV/e-OSCAR records, and the furnishers' dispute-investigation records","SRC-001 pleads specific field values from specific months (November 2024; October 2025), which implies the client holds the reports. ACDV records are generated automatically by the CRA dispute process and SRC-004 Request 12 seeks them.","The furnished data, its facial impossibility, the CRA notice that triggers 15 U.S.C. 1681s-2(b), and the adequacy of the investigation",PROP-006,CLM-002,"Plaintiffs (reports); Equifax, Experian, TransUnion (ACDVs); Shellpoint and SLS (investigation records)",client-file then discovery-request,2,yes,open,"The CRA-notice element is the one most often fatal to a 1681s-2(b) claim, and nothing in this manifest establishes it. Direct disputes to the furnisher do not trigger the duty."
GAP-005,"The loan modification agreement, the approval letter, the complete loss-mitigation application, and every denial or appeal notice",SRC-001 pleads an executed modification. SRC-004 Request 10 seeks all loss-mitigation documents including denials citing 12 C.F.R. 1024.41(g) and (h).,"Whether a binding modification existed, and whether a complete loss-mitigation application was pending so that the dual-tracking protections attached",PROP-009,CLM-004;CLM-005;CLM-001,Plaintiffs' own file; Shellpoint,client-file then discovery-request,1,yes,open,"Doc. 34 at 3 n.4 records that loss-mitigation efforts 'have been unsuccessful', which is the court's understanding and runs against the pleaded modification. If no executed agreement exists, this theory should be withdrawn rather than repleaded."
GAP-006,The Alsaadi Declaration (Doc. 27) and Shellpoint's internal records of the March 2026 foreclosure postponement,"Doc. 34 at 4 cites 'Alsaadi Decl., para. 14' directly.","When and by whom the March 3, 2026 sale was postponed, which bears on CON-005 and on Shellpoint's 03/02/2026 statement that it was 'unable to accommodate' postponement",PROP-012,CLM-001;CLM-003,The court's docket; Shellpoint,public-record,3,no,open,The declaration is on the public docket and requires only PACER access.
GAP-007,"The published notices of foreclosure sale, as published in the county legal organ, with publication affidavits","Georgia non-judicial foreclosure requires published advertisement. SRC-001 pleads publication in the Forsyth County News. SRC-004 Request 9 seeks the advertisement published on or about March 3, 2026.","The publication element of attempted wrongful foreclosure, and the content of what was represented to the public",PROP-010,CLM-006,Forsyth County News; McCalla Raymer; the Forsyth County Clerk,public-record,2,yes,open,Newspaper legal notices are public and retrievable without discovery.
GAP-008,"The Mercer Advisors employment offer and the written rescission, plus any adverse-action notice citing a consumer report","SRC-001 pleads a written offer valued at $600,000-$800,000 and its rescission as the principal special damage.","The special-damages element of attempted wrongful foreclosure and the actual-damages element of the FCRA claim - and, if an adverse-action notice exists, the causal link to the credit reporting",PROP-010;PROP-006,CLM-002;CLM-006,Plaintiffs; Mercer Advisors; Veritable Screening,client-file then subpoena,1,yes,open,"The largest single damages figure in the case rests entirely on an allegation. A written offer and a written rescission would move it to documented. If neither exists in writing, that must be known before the figure is pleaded again."
GAP-009,"The recorded Assignment of Security Deed (pleaded at Deed Book 11187, Pages 717-719), the recorded Security Deed (Deed Book 10835, Pages 740-754), and the original Note with all indorsements and allonges","Both instruments are pleaded by book and page, which means they are recorded and publicly retrievable. SRC-004 Requests 1-3 seek the note, indorsements, and assignment support.","The chain of title, the capacity recitals, and whether the assignment is facially defective - the foundation of the standing, slander-of-title, and declaratory theories",PROP-003;PROP-011,CLM-006;CLM-007;CLM-009,Forsyth County Clerk of Superior Court (recorded instruments); the note custodian (original note),public-record then discovery-request,1,yes,open,The recorded instruments are obtainable today from the county records for a nominal fee. There is no reason for these to remain unexamined.
GAP-010,The servicer's transaction-code key and the draw history for the line of credit,"Every servicing system has a code key, and SRC-013 uses codes (Rev Code 2, Rev Code 7, Flag 7) and labels ('Principal Only Payment' for entries that increase the balance) that cannot be read without one.","What the negative 'Principal Only Payment' entries of 11/16/22 and 02/09/23 actually represent - draws, corrections, or something else",PROP-008,CLM-001;CLM-004,Shellpoint; SLS,discovery-request,2,no,open,"See CON-003. Without this key, any characterization of those rows as irregularities is speculation - and the annotated spreadsheet SRC-007 has already made that mistake as to the 08/05/22 row."
GAP-011,The complete federal docket sheet and every filing after Doc. 35,Every order in the matter references the docket; the CourtListener record confirms the case exists but carries zero entries.,"Whether the amended complaint was filed by 2026-08-21, and the entire current posture",n/a,n/a,PACER/CM-ECF,public-record,1,yes,open,Handed to the docket specialist as HD-1. Blocking for the whole matter.
GAP-012,The pre-removal Forsyth County orders of 2026-03-03 and 2026-03-06 (Doc. 26-1 at 102-105 and 107-109),Doc. 34 quotes both directly.,"Judge Bagley's actual findings, including the loan-proceeds-delivery language on which much of the case turns",PROP-002,CLM-006;CLM-009,The court's docket (Doc. 26-1),public-record,2,no,open,Currently known only through Doc. 34's characterization. The orders themselves should be read before their language is relied on in a brief.
GAP-013,"SLS cash-application detail for 09/13-09/14/2023 and the reinstatement quote that produced the $19,588.88 figure",The ledger books the credit and its distribution; a quote must have generated the figure,Whether the reinstatement credit fully distributed and what the $70.00 residual is,PROP-008,CLM-001,Specialized Loan Servicing / NewRez as successor,discovery-request,3,no,open,"Small residual; low value alone, useful with GAP-016."
GAP-014,"Plaintiffs' depositary records for the four 2025 tenders of $1,899.56, and Shellpoint's TPP offer and suspense policy",SRC-021 P29 pleads Plaintiffs reviewed their own bank records and none was returned; a TPP offered through a portal generates a written offer,"Whether the three NSF reversals were justified, and why the fourth tender was never applied",PROP-013,CLM-001;CLM-003,Plaintiffs' bank; Shellpoint,client-file,1,yes,open,"THE DECISIVE DOCUMENT FOR THE STRONGEST PAYMENT THEORY. If the bank records show the payments cleared, three NSF entries become a serious problem for Shellpoint."
GAP-015,"Servicer reason code and system notes for the 09/26/2023 reversal of the $10,000 principal payment",Every servicing system records a reason code for a manual reversal,"Why a $10,000 curtailment was undone after eleven days",PROP-008,CLM-001;CLM-004,Specialized Loan Servicing / NewRez as successor,discovery-request,2,no,open,Ledger states no reason. A 30(b)(6) topic is more reliable than a document request here.
GAP-016,Disposition of the $855.00 that entered suspense 09/26/2023 and left 10/11/2023,The ledger shows the money in and out; something happened to it,"Whether it was returned, applied, or rejected, and by whom",PROP-008,CLM-001;CLM-003,Specialized Loan Servicing / NewRez as successor; Plaintiffs' bank,discovery-request,2,no,open,"Note the timing: this occurred under SLS, not Shellpoint. SRC-021 P31 attributes it to Shellpoint, which the ledger's PriorServicer marker contradicts."
GAP-017,"The Note and Security Deed provisions authorising each fee type, the servicer fee schedule, and the invoices behind the 27 fee entries","$8,408.74 in fees was charged; each must rest on a contractual or regulatory authority and on an invoice","Whether $8,408.74 in default and foreclosure charges was authorised",PROP-008,CLM-001;CLM-003;CLM-004,Shellpoint; McCalla Raymer; the vendors,discovery-request,2,no,open,The amounts are not in dispute; the authority is. This is a contract question fed by an accounting schedule.
GAP-018,"Every print of the account history the servicers generated, with generation dates, and the as-mailed enclosure to the 03/02/2026 letter",Two prints are already in hand (01/16/2026 and 03/10/2026) and a third is implied by the 03/02/2026 enclosure list,Whether ledger entries changed between generations,PROP-008,CLM-001,Shellpoint,discovery-request,2,no,open,Comparing prints is the cheapest test for altered records. The one overlapping page showed no substantive difference - a negative result on a small sample.
GAP-019,"The Note with all endorsements and any allonge, and evidence of who holds the original",Every HELOC has a note; the FAC pleads its execution,Who may enforce the obligation - the question the recorded assignment does not answer,PROP-003;PROP-011,CLM-006;CLM-007;CLM-009,"The custodian, not the servicer",discovery-request,1,yes,open,Absent from the sources entirely. The custodian is the party who can say who holds the original.
GAP-020,The MERS ServicerID lookup itself (Ex. 6) and the recorded Assignment itself (Ex. 5),Both are described and quoted in SRC-021 as exhibits; the assignment is a public record,"The exact registry field values and the assignment's execution, notarization and recital details",PROP-003;PROP-011,CLM-006;CLM-007,Plaintiffs (exhibits); Forsyth County Clerk (assignment),public-record,1,yes,open,EVERY OWNERSHIP FINDING IN THIS MATTER CURRENTLY RESTS ON A PLEADING'S QUOTATION OF DOCUMENTS NOBODY HAS READ. The assignment is obtainable today for a nominal fee.
GAP-021,"The mortgage loan schedule for FREED Mortgage Trust 2022-HE1, or the custodian's certification for this loan","A rated securitization has a loan schedule; the DBRS release describes a 3,292-loan pool","Whether this loan is in the FREED pool - currently only consistent, not established",PROP-003,CLM-006;CLM-009,The FREED trustee or custodian,subpoena,3,no,open,"Low priority deliberately: even if membership were established, what it gets Plaintiffs is constrained by the standing rule, which is UNRESEARCHED."
