event_id,event_date,date_precision,time,actor,recipient,event_type,event_description,amount,instrument_or_doc,epistemic_label,source_id,pinpoint,corroborating_source_ids,conflicting_source_ids,issue_ids,confidence,notes
EV-001,2022-07-01,month,,ENT-008,ENT-001;ENT-002,transfer,"HELOC originated by Lendage, LLC in the amount of $149,650.00","$149,650.00",HELOC Agreement and Note,[COURT-FOUND],SRC-010,Doc. 34 at 3 n.4,SRC-013,,OFQ-3,high,"The court states July 2022 without a day. SRC-001 pleads July 21, 2022 but that is an allegation, not a finding."
EV-002,2022-07-01,month,,ENT-001;ENT-002,ENT-006,recording,"Security Deed executed conveying the Property to MERS as nominee for Lendage, LLC",n/a,Open-End Security Deed,[COURT-FOUND],SRC-010,Doc. 34 at 3 n.4,,,OFQ-3,high,"Recording date and deed book/page are pleaded in SRC-001 but not stated in any court order here."
EV-003,2022-08-05,exact,,ENT-005,n/a,transaction,"Ledger's opening row: 'Principal Only Payment' of -$149,650.00 establishing an opening principal balance of $149,650.00. A Late Charge Balance of $1,145.62 is already shown on this same origination-date row.","-$149,650.00 (principal); $1,145.62 late charge balance",Loan History Statement row,[VERIFIED],SRC-013,"p.5, row dated 08/05/22",,,OFQ-3,medium,"What the row shows is the booking of the opening balance. The ledger does not explain the sign convention, and does not explain a late-charge balance existing on the origination row. Confidence medium: the row is legible but the meaning of the negative sign is not stated on the face of the document."
EV-004,2022-09-01,exact,,ENT-001;ENT-002,ENT-005,payment,"First Regular Payment posted, $2,040.30 ($1,504.05 principal / $536.25 interest)","$2,040.30",Loan History Statement row,[VERIFIED],SRC-013,"p.5, row dated 09/01/22",,,,high,"Note the principal/interest split on this first payment is inverted relative to every later payment, where interest exceeds principal."
EV-005,2022-11-16,exact,,ENT-005,n/a,transaction,"'Principal Only Payment' of -$2,900.00 which INCREASES the principal balance from $146,658.38 to $149,558.38","-$2,900.00",Loan History Statement row,[VERIFIED],SRC-013,"p.5, row dated 11/16/22",,,OFQ-3,high,"What the row shows: a balance increase of $2,900.00 coded as a principal payment. No matching prior credit of $2,900.00 appears, so this is not a reversal of anything in the ledger. On a HELOC an additional draw would increase principal, which is the leading innocent explanation - but the ledger does not label draws, so the cause is [UNRESOLVED]. See CON-003."
EV-006,2022-12-01,exact,,ENT-005,n/a,payment,"Regular Payment of $2,028.22 posted (Flag 7)","$2,028.22",Loan History Statement row,[VERIFIED],SRC-013,"p.5, row dated 12/01/22",,,,high,
EV-007,2022-12-06,exact,,ENT-005,n/a,reversal,"The 12/01/22 Regular Payment is REVERSED (Rev Code 7), -$2,028.22","-$2,028.22",Loan History Statement row,[VERIFIED],SRC-013,"p.5, row dated 12/06/22",,,,high,"Re-posted 12/15/22, so the net effect on this payment is neutral. The pattern of post-reverse-repost recurs in March 2023."
EV-008,2023-02-09,exact,,ENT-005,n/a,transaction,"'Principal Only Payment' of -$1,700.00 which increases the principal balance to $149,613.37","-$1,700.00",Loan History Statement row,[VERIFIED],SRC-013,"p.5, row dated 02/09/23",,,OFQ-3,high,"Same pattern as EV-005: a balance increase coded as a principal payment, with no matching prior credit. [UNRESOLVED] as to cause."
EV-009,2023-03-23,exact,,ENT-005,n/a,reversal,"The February and March 2023 Regular Payments, both posted 03/14/23, are REVERSED (Rev Code 7) on 03/23/23, and a late charge of $103.39 is re-assessed","-$2,067.64 and -$2,089.74","Loan History Statement rows",[VERIFIED],SRC-013,"p.4, rows dated 03/23/23",,,,high,"What the rows show: two payments applied on 03/14 and reversed nine days later, with the late charge that had been waived on 03/14 re-assessed on 03/23. The ledger gives no reason."
EV-010,2023-09-13,exact,,ENT-001;ENT-002,ENT-005,payment,"A single Unapplied Payment of $19,588.88 is received and held in suspense","$19,588.88",Loan History Statement row,[VERIFIED],SRC-013,"p.4, row dated 09/13/23",,,,high,"The largest single credit in the ledger. It is booked to suspense, not applied, and is then distributed across due dates 02/2023 through 10/2023 by a series of entries all dated 09/14/23."
EV-011,2023-09-14,exact,,ENT-005,n/a,transaction,"Approximately eighteen offsetting Regular Payment / Unapplied Payment entries are booked on a single day, distributing the 09/13/23 suspense balance across due dates 02/01/23 through 10/01/23",various,Loan History Statement rows,[VERIFIED],SRC-013,"pp.3-4, rows dated 09/14/23",,,,medium,"Confidence medium rather than high: the printed columns on several of these rows omit fields, and the running balance is difficult to reconcile line by line from the print-out alone. The overall effect - suspense distributed across back-dated periods - is clear; the per-row arithmetic is not independently verified."
EV-012,2023-09-15,exact,,ENT-001;ENT-002,ENT-005,payment,"Principal Only Payment of $10,000.00 reduces principal from $142,095.76 to $132,095.76","$10,000.00",Loan History Statement row,[VERIFIED],SRC-013,"p.3, row dated 09/15/23",,,,high,
