decision_id,date,decision_required,presented_by,options_presented,decision_made,rationale,decided_by,authorizes_action,expires,related_assignment_ids,related_deadline_ids,notes
HD-1,2026-09-21,"Confirm on PACER/CM-ECF whether an amended complaint was filed in 2:26-cv-00110-RWS-AWH on or before 2026-08-21, and if so at what docket number and on what date.",docket-deadline-paralegal,Pull the docket / do not pull,PENDING,Requires PACER/CM-ECF credentials this session does not have. CourtListener's record for this docket contains zero entries and zero documents.,,Read-only retrieval of the public docket for 2:26-cv-00110-RWS-AWH,n/a,ASSIGN-CARRELHA-2026-001,DL-001;DL-004,BLOCKING - no downstream conclusion is reliable until this is answered.
HD-2,2026-09-21,"If an amended complaint was filed, confirm whether the document filed is the draft at SRC-001 or a different version.",docket-deadline-paralegal,Compare the filed document to SRC-001 / defer,PENDING,SRC-001 is an undated draft held in Drive with unfilled signature and verification placeholders; it may not be what was filed.,,Read-only comparison; registration of the filed version as a new source,n/a,ASSIGN-CARRELHA-2026-001,DL-001;DL-004,BLOCKING - no downstream conclusion is reliable until this is answered.
HD-3,2026-09-21,"Confirm whether Defendants have given any notice of intent to proceed with foreclosure since 2026-07-20, which would start the 60-day period under Doc. 34.",docket-deadline-paralegal,Check for a foreclosure notice / defer,PENDING,Requires the docket and the client's mail; the obligation has no date of its own and will otherwise be missed.,,Read-only review of the docket and the client's mail for a notice triggering Doc. 34's 60-day period,n/a,ASSIGN-CARRELHA-2026-001,DL-003,Non-blocking.
HD-4,2026-09-21,Obtain N.D. Ga. Local Rules 16 and 26 and the individual standing orders of Judge Story and Magistrate Judge Howard.,docket-deadline-paralegal,Obtain local rules and standing orders / defer,PENDING,Not available to this session; local practice routinely displaces the national default periods.,,Read-only retrieval of published court rules,n/a,ASSIGN-CARRELHA-2026-001,DL-006,Non-blocking.
HD-5,2026-09-21,"Does the client hold a wire confirmation, bank statement, or receipt for the $5,200.00 payment pleaded in the First Amended Complaint?",evidence-chronology-paralegal,Client produces the wire confirmation / confirms none exists / defer,PENDING,"Only the client can answer; the servicer's ledger does not contain it and the pleading describes it as 'verified', implying a document exists.",,Registration of any produced document as a new source; no outward act,n/a,ASSIGN-CARRELHA-2026-002,n/a,BLOCKING - no downstream conclusion is reliable until this is answered.
HD-6,2026-09-21,"Does an executed Loan Modification Agreement exist, and can the client produce it?",evidence-chronology-paralegal,Client produces the modification / confirms none exists / defer,PENDING,"No modification document is in the record, and Doc. 34 at 3 n.4 records that loss-mitigation efforts were unsuccessful - the opposite of what is pleaded.",,Registration of any produced document as a new source; no outward act,n/a,ASSIGN-CARRELHA-2026-002,n/a,BLOCKING - no downstream conclusion is reliable until this is answered.
HD-7,2026-09-21,"Is the Mercer Advisors offer and its rescission documented in writing, and is there an adverse-action notice citing a consumer report?",evidence-chronology-paralegal,Client produces the offer and rescission / confirms none exists / defer,PENDING,The largest damages figure in the case rests on it and no document supporting it is in the record.,,Registration of any produced document as a new source; no outward act,n/a,ASSIGN-CARRELHA-2026-002,n/a,BLOCKING - no downstream conclusion is reliable until this is answered.
HD-8,2026-09-21,"Authorize retrieval of the recorded Security Deed and Assignment from the Forsyth County Clerk, and of the foreclosure advertisements from the county legal organ.",evidence-chronology-paralegal,Authorize public-record retrieval / decline / defer,PENDING,These are public records obtainable today without discovery; retrieving them is an outward-facing act requiring authorization.,,OUTWARD ACT: ordering recorded instruments from the Forsyth County Clerk and legal-organ advertisements. Requires an express yes.,n/a,ASSIGN-CARRELHA-2026-002,n/a,Non-blocking.
HD-9,2026-09-21,Run a Shepard's/KeyCite pass on Weiland (792 F.3d 1313) and Vibe Micro (878 F.3d 1291) before either is cited in a filing.,legal-research-paralegal,Run the citator / defer,PENDING,No citator is available in this session; good-law status is unconfirmed on every row of the table.,,Read-only citator check on Weiland and Vibe Micro before either is cited in any filing,Before any filing,ASSIGN-CARRELHA-2026-003,n/a,Non-blocking.
HD-10,2026-09-21,"Decide whether to renumber the amended complaint's paragraphs continuously before filing (or, if already filed, whether to seek leave to file a corrected version).",legal-research-paralegal,Renumber continuously / file as-is / seek leave to correct,PENDING,A litigation judgment about how much attention to draw to a curable defect.,,Editing a DRAFT only. No filing is authorized by this decision.,Before any filing,ASSIGN-CARRELHA-2026-003,n/a,Non-blocking.
HD-11,2026-09-21,"Decide whether to assert a count against Lendage, LLC or remove it from the caption.",legal-research-paralegal,Plead a count against Lendage / remove it from the caption / leave as-is,PENDING,A party-structure decision with consequences under Rule 10(a) and Doc. 34's holding that Lendage is not a defendant.,,Editing a DRAFT only. No filing is authorized by this decision.,Before any filing,ASSIGN-CARRELHA-2026-003,n/a,Non-blocking.
HD-12,2026-09-21,"Confirm which document was filed on or before 2026-08-21: SRC-001, SRC-020, or neither.",pleading-amendment-analyst,Determine from the docket which was filed / defer,PENDING,Two materially different candidate pleadings exist in the client's Drive and no docket is available. Every conclusion in this result describes SRC-020.,,Read-only docket retrieval. No filing.,Before any response deadline runs,ASSIGN-CARRELHA-2026-004,DL-001;DL-002,BLOCKING - no downstream conclusion is reliable until this is answered.
HD-13,2026-09-21,Confirm whether Section J of SRC-020 contains executed signatures or unfilled placeholders.,pleading-amendment-analyst,Read Section J of SRC-020 / defer,PENDING,Section J was not read. SRC-001 carried template placeholders; whether this document does is unknown.,,Read-only review of a document already in the client's possession.,Before any filing,ASSIGN-CARRELHA-2026-004,n/a,BLOCKING - no downstream conclusion is reliable until this is answered.
HD-14,2026-09-21,Decide whether to limit Count IX to MEB Loan Trust VIII and reattribute paragraph 31 to SLS.,pleading-amendment-analyst,Limit Count IX to MEB and reattribute P31 to SLS / leave as drafted / defer,PENDING,Litigation judgments about which defendants to pursue on which counts.,,Editing a DRAFT only. No filing is authorized by this decision.,Before any filing,ASSIGN-CARRELHA-2026-004,n/a,Non-blocking.
HD-15,2026-09-21,"Obtain Plaintiffs' depositary records for the four 2025 tenders of $1,899.56 and for the asserted December 19 2023 wire.",loan-accounting-analyst,Request the depositary records / defer,PENDING,Only the client's bank can show whether a payment cleared and was not returned. The ledger cannot.,,OUTWARD ACT: a records request to the client's own bank. Requires an express yes.,n/a,ASSIGN-CARRELHA-2026-005,n/a,BLOCKING - no downstream conclusion is reliable until this is answered.
HD-16,2026-09-21,"Decide whether to continue pleading a $5,200.00 payment at all, given that the later pleading SRC-020 omits it.",loan-accounting-analyst,"Drop the $5,200 theory / keep it pending the wire confirmation / defer",PENDING,A litigation judgment about which factual theory to carry forward.,,Editing a DRAFT only.,Before any filing,ASSIGN-CARRELHA-2026-005,n/a,BLOCKING - no downstream conclusion is reliable until this is answered.
HD-17,2026-09-21,Authorize retrieval of the recorded Security Deed (DB 10835 pp.740-754) and the recorded Assignment (DB 11187 p.717) from the Forsyth County Clerk.,securitization-ownership-analyst,Authorize county-clerk retrieval / decline / defer,PENDING,Public-record retrieval is an outward-facing act requiring authorization. Every ownership finding here currently rests on a quotation rather than an instrument.,,OUTWARD ACT: ordering recorded instruments from the Forsyth County Clerk and re-running the MERS ServicerID lookup. Requires an express yes.,n/a,ASSIGN-CARRELHA-2026-006,n/a,BLOCKING - no downstream conclusion is reliable until this is answered.
HD-18,2026-09-21,"Route to legal-research-paralegal: what Ames v. JP Morgan Chase Bank, 298 Ga. 732 (2016) holds about borrower standing to challenge an assignment, and what its carveouts are.",securitization-ownership-analyst,Route Ames to legal-research-paralegal / defer,PENDING,"This analyst does not decide the law, and the answer determines whether several findings here are worth anything at all.",,Issues a new internal assignment. No outward act.,Before any ownership theory is pleaded,ASSIGN-CARRELHA-2026-006,n/a,BLOCKING - no downstream conclusion is reliable until this is answered.
HD-19,2026-09-21,"Authorize Phase 0: request the client's bank records, and retrieve the recorded instruments and the published foreclosure notices.",discovery-planning-analyst,Authorize Phase 0 retrievals / decline / defer,PENDING,"Each is an outward-facing act - a request to a bank, a county clerk, or a newspaper archive - and requires authorization even though none is discovery.",,"OUTWARD ACT: requests to the client's bank, the county clerk, and the newspaper archive. None is discovery, and all require authorization.",n/a,ASSIGN-CARRELHA-2026-007,n/a,BLOCKING - no downstream conclusion is reliable until this is answered.
HD-20,2026-09-21,"Confirm from the docket whether the Rule 26(f) conference has occurred, whether a scheduling order exists, and what numerical limits apply.",discovery-planning-analyst,Confirm the discovery gate from the docket / defer,PENDING,Requires PACER. Nothing in this plan may be served until this is answered.,,Read-only docket retrieval. NOTHING IN THE DISCOVERY PLAN MAY BE SERVED UNTIL THIS IS ANSWERED.,Before any discovery is served,ASSIGN-CARRELHA-2026-007,DL-006,BLOCKING - no downstream conclusion is reliable until this is answered.
HD-21,2026-09-21,Decide whether to make the four redraft-only corrections before any filing or response deadline.,adversarial-redteam-analyst,Make the four redraft-only corrections / leave as drafted / defer,PENDING,A litigation judgment about timing and about how much attention to draw to curable defects.,,Editing a DRAFT only. No filing is authorized by this decision.,Before any filing or response deadline,ASSIGN-CARRELHA-2026-008,DL-001;DL-002,BLOCKING - no downstream conclusion is reliable until this is answered.
HD-22,2026-09-21,Decide whether to narrow the FDCPA count to conduct on or after 2026-03-02 rather than plead a tolling theory.,adversarial-redteam-analyst,Narrow the FDCPA count / plead a tolling theory / defer,PENDING,"A strategic choice between two defensible routes, with different downside profiles.",,Editing a DRAFT only.,Before any filing,ASSIGN-CARRELHA-2026-008,n/a,Non-blocking.
