oc_id,subject,assertion,assertion_source,verification_method,verified,verified_detail,what_it_supports,what_it_does_not_establish,epistemic_label,confidence,related_ids,source_ids,notes
OC-001,Identity,Keith S. Anderson is counsel for the defendants in this matter,SRC-030;SRC-033,"CourtListener RECAP attorney search, N.D. Ga.",partial,"69 N.D. Ga. dockets carry a 'Keith Anderson' attorney appearance. The RECAP docket for THIS case (73194013) carries no entries and therefore no attorney record, so his appearance HERE is not confirmed from any court record.",That an attorney of that name practises heavily in N.D. Ga. mortgage litigation,That he has appeared in 2:26-cv-00110; that all 69 dockets are the same Keith Anderson,[UNRESOLVED],low,,SRC-036;SRC-030,A name match in an attorney index is not an identification. Confirm from the docket or a filed notice of appearance.
OC-002,Firm,"Anderson is a partner at Bradley Arant Boult Cummings LLP, Birmingham; GA Bar 136246",SRC-030;SRC-031,not independently verified this session,no,"No bar record, firm directory or filed signature block was retrieved.",Nothing yet,"The firm, the bar number, or the address used in a certificate of service",[UNRESOLVED],low,,SRC-030;SRC-031,The certificate-of-service address in SRC-031 must be confirmed against a filed document before it is used to serve anything.
OC-003,Firm history,Bradley Arant is 'fka McCalla Raymer Leibert Pierce' and Anderson previously practised there,SRC-032;SRC-033,internal contradiction within the client's own corpus,no,"SRC-030 (later, 2026-08-20) expressly retracts this: 'Anderson has never worked at McCalla Raymer; he has always been at Bradley Arant.' Bradley Arant and McCalla Raymer are separate firms; neither is the former name of the other.",Nothing. The earlier assertion is withdrawn by the later document.,Any characterisation of Anderson's employment history,[UNRESOLVED],low,CON-011;ENT-007,SRC-030;SRC-032;SRC-033,CON-011. Do not repeat the McCalla Raymer assertion in any filing. McCalla Raymer is separately relevant here: it is ENT-007's firm.
OC-004,Pattern,"Anderson files a Rule 12(b)(6) motion to dismiss within 1-26 days, with a motion to stay discovery filed the same day",SRC-032;SRC-031,partially verified through the Caudell docket,partial,"Caudell v. NewRez, 3:26-cv-00007 (M.D. Ga.) shows a stay of discovery imposed 2026-02-27 and lifted by Doc. 17 on 2026-04-28. The stay-with-the-MTD pattern is corroborated in that one case. The day-count table in SRC-032 was not verified case by case.","That a motion to stay discovery should be expected alongside any motion to dismiss, and that an opposition should be ready","The specific day counts, or that the pattern holds across all 164 or 50 cases claimed",[INFERENCE],medium,,SRC-036;SRC-032,"Two of the named cases are VERIFIED to exist on the stated numbers: Harris v. NewRez 1:24-cv-03950 (Grimberg, 2024-09-04) and Williams v. BNY Mellon 1:24-cv-04624 (May, 2024-10-11)."
OC-005,Outcome anchor,Anderson's identical motion to dismiss in Caudell was PARTIALLY granted on 2026-04-28; his motion is not case-dispositive,SRC-030;SRC-031,"CourtListener RECAP, docket 72155129, entry 17, verbatim",yes,"Doc. 17 reads: 'ORDER granting in part and denying in part NewRez LLC d/b/a Shellpoint Mortgage Service and Federal National Mortgage Association's [12] Motion to Dismiss [10] Amended Complaint for failure to state a claim and lifting [14] stay of discovery imposed on 2/27/2026. Ordered by US DISTRICT JUDGE TILMAN E. SELF, III on 4/28/2026.'","That a NewRez/Shellpoint motion to dismiss an amended complaint was granted only in part, and that the discovery stay was lifted at the same time",WHICH counts survived. The docket text does not say. The claim that RESPA and breach of contract survived is UNVERIFIED and must not be asserted without reading Doc. 17 itself.,[VERIFIED],high,,SRC-036,"The strongest verified item in this register. Note Doc. 11 (2026-02-13) resolved an EARLIER motion to dismiss, so Caudell involved a repleading followed by a second motion - structurally the same posture this matter is in."
OC-006,Imported fact,The QuickRef instructs pleading that the chain 'terminates before reaching Fannie Mae REMIC Trust 2024-91',SRC-031,comparison against this matter's own ownership record,no,"Fannie Mae is a defendant in CAUDELL, not here. No source in this matter names Fannie Mae or any REMIC Trust 2024-91. The asserted owners here are MEB Loan Trust VIII (Witt Letter) and FREED Mortgage Trust 2022-HE1 (MERS ServicerID).",Nothing. This is a fact imported from the template case.,Anything about the ownership of this loan,[UNRESOLVED],low,CON-009,SRC-031;SRC-036,CON-009. If this language reached an amended complaint it would plead a trust with no connection to this loan - a Rule 11 exposure and a gift to the defence. Check the filed pleading for it.
OC-007,Expected argument,Borrower lacks standing to challenge the assignment; 'show me the note' is universally rejected in Georgia,SRC-031,verified as a correct statement of Georgia law,yes,"Ames v. JP Morgan Chase Bank, N.A., 298 Ga. 732 (2016) (Nahmias, J.) holds the Ameses lack standing to challenge the assignment of their security deed, affirming Montgomery and Jurden. It cites Haynes v. McCalla Raymer, LLC, 793 F.3d 1246, 1252-53 (11th Cir. 2015) as 'holding that debtors lacked standing to challenge an assignment using OCGA 44-14-162(b) on the ground that the assignment was not properly attested.'",That this argument will be made and that it is well supported,Nothing favourable. This is adverse authority and it is strong.,[VERIFIED],medium,,SRC-036,CITATOR-LIMITED MEDIUM. Any count depending on the validity of an assignment must be treated as facing this head-on.
OC-008,Counter-move as drafted,Plead the assignment VOID (not voidable) and cite Ames at 741 as reserving that attack,SRC-030;SRC-031,read the Ames opinion full text and searched every occurrence of 'void',no,"Every use of 'void' in Ames is in FOOTNOTE 8, which surveys OTHER jurisdictions. Its text aligns Georgia with the stricter line: 'some courts have indicated-consistent with our conclusion-that plaintiff debtors ALWAYS lack standing to challenge an assignment when they have failed to prove an injury from the assignment', while 'others have held or suggested that there is debtor standing to challenge an assignment that is truly void'. The void line is described as the view of OTHER courts, expressly contrasted with the Georgia court's own conclusion.",Nothing. The reservation the playbook relies on is not in the opinion.,That Georgia recognises a void-assignment exception to borrower standing,[VERIFIED],medium,CON-012,SRC-036;SRC-030,CON-012. This is the single most dangerous item in the client's corpus: a central pleading strategy rests on a reading of Ames that the text does not support. Pleading it as though Ames reserved the point invites both dismissal and a credibility loss with the magistrate.
OC-009,Counter-move as drafted,"Racette v. Bank of America, 318 Ga. App. 171, is direct authority for a borrower attack on void assignments",SRC-030;SRC-031,read the Racette opinion full text,no,"The citation is correct - Racette v. Bank of America, N.A., 318 Ga. App. 171, 733 S.E.2d 457 (2012) (Barnes, J.) exists. The proposition does not. A full-text search of the opinion returns ZERO occurrences of 'assignment'. Racette is about defective published foreclosure ADVERTISEMENTS that misdescribed a senior lien by deed book and page.",Nothing for the assignment theory,That Racette says anything at all about assignments or borrower standing to challenge them,[VERIFIED],high,CON-013;OC-010,SRC-036;SRC-030,CON-013. Citing Racette for void-assignment standing would be citing a real case for a proposition it does not contain - the category of error that draws a Rule 11 inquiry. BUT SEE OC-010: Racette is valuable here for something else.
OC-010,Recovered value,Racette is live authority for a DIFFERENT theory this matter may actually have,SRC-036,read the Racette opinion full text,yes,"Racette reversed dismissal of wrongful-foreclosure, breach-of-contract and emotional-distress claims where the published advertisements referenced a senior lien at a deed book and page that concerned a different property and different borrowers, and where the borrower gave actual notice of the error on the courthouse steps. The court held it could not determine at the motion-to-dismiss stage whether a bidder could have resolved the uncertainty from county records.","A defective-advertisement theory surviving a motion to dismiss, with emotional-distress damages, where the foreclosing party had actual notice of the defect",That this matter has such a defect - no published advertisement has been obtained here,[VERIFIED],medium,GAP-007,SRC-036,"Ties directly to GAP-007 (published notices of foreclosure sale, not obtained). Obtaining them moves from housekeeping to priority. Note the irony: the playbook cited Racette for a proposition it lacks while missing the one it has."
