allegation_id,paragraph,allegation_summary,claim_ids,defendant,fact_type,source_ids,pinpoints,what_source_shows,gap_between_allegation_and_source,basis_if_unsupported,rule11_risk,confidence,notes
ALG-001,P 17,"HELOC executed 07/21/2022; Lendage originator; MERS nominee; $149,650.00 limit; 10.750%",CLM-009,ENT-008,documented,SRC-010,Doc. 34 at 3 n.4,"The court's background footnote states a July 2022 Lendage origination of $149,650.00",none,,none,high,The rate and the 120-month term are not corroborated by any source in the manifest; they come from loan documents nobody has read.
ALG-002,P 18,"Only $51,409.50 appeared in Plaintiff's BofA account on 08/05/2022 at 8:20 AM (Ex. 7)",CLM-009,ENT-008,personal-knowledge,,,NO SOURCE IN THE MANIFEST. The screenshot is described as Ex. 7 but is not among the sources reviewed.,Total as to the document. The allegation is pleaded on personal knowledge plus a contemporaneous screenshot.,"Christopher J. Carrelha has personal knowledge of what appeared in his own account, and the screenshot is said to exist as Ex. 7. BASIS ADEQUATE for pleading; NOT adequate for proof.",low,high,"The allegation is properly framed - personal knowledge of one's own bank account is exactly what that basis is for. What it does NOT establish is where the other ~$98,000 went, and the pleading should not be read as asserting it went nowhere."
ALG-003,P 19,Recorded Assignment recites MEB as 'a[n] CORPORATION organized under the laws of NEW YORK',CLM-007,ENT-003,documented,SRC-021,P 19,SRC-021 quotes the recital. THE INSTRUMENT ITSELF WAS NOT READ.,"One level of remove: the source is the pleading's quotation of an exhibit, not the exhibit.","The assignment is a recorded public record at Deed Book 11187, Page 717, obtainable today.",low,high,GAP-020. Verify the quotation against the instrument before it appears in a brief.
ALG-004,P 20,"MERS ServicerID identifies the Investor as FREED Mortgage Trust 2022-HE1, not MEB",CLM-007;CLM-009,ENT-003,documented,SRC-021,P 20,SRC-021 describes a lookup retrieved 2026-03-24 as Ex. 6. THE LOOKUP ITSELF WAS NOT SEEN.,"One level of remove, and the field is 'Investor' rather than 'owner' - a different question.",Ex. 6 is said to exist and the lookup is publicly re-runnable today.,low,high,Strong as a records-inconsistency point; weak if pleaded as proof that FREED owns the loan. TRF-004.
ALG-005,P 21,Plaintiffs' HELOC falls within the FREED origination-and-date profile,CLM-007,ENT-003,information-and-belief,SRC-023,pool description,The DBRS release establishes a Lendage-originated pool with a 2022-09-30 cut-off. It identifies no individual loan.,"Large. Fitting a profile is not membership, and the pleading says 'on information and belief', which is the right framing.",The basis for the belief IS stated in the paragraph itself (originator and date match a public presale report). Membership is peculiarly within Defendants' knowledge.,low,high,Correctly pleaded. It would become a Rule 11 problem only if restated as an assertion of fact that this loan IS in the FREED trust.
ALG-006,P 27,Every ledger row after 07/07/2024 bears a frozen Due Date of 01/01/24 and principal never moves,CLM-001,ENT-004,documented,SRC-013,pp.1-3,"Confirmed on every row: Due Date 01/01/24 throughout, principal $140,288.02 unchanged 12/21/23 to 03/10/26",none,,none,high,Fully corroborated by the defendant's own document. One of the pleading's best-supported paragraphs.
ALG-007,P 28,"A Late Charge Balance of $1,145.62 appears at the 08/05/2022 origination row with no assessing entry",CLM-001,ENT-004,documented,SRC-013,p.5 row 08/05/22,Confirmed. The balance is present on the origination row and no Late Charge Assess line precedes it.,none,,none,high,Accurate as written. The pleading is careful to say it 'lacks a documented basis on the face of the Ledger' rather than asserting it was wrongly charged - that restraint is correct and should be preserved. TXN-002.
ALG-008,P 29,"Four TPP payments of $1,899.56 between 04/29/2025 and 06/25/2025; each reversed with NSF; none returned by the depositary institution",CLM-001;CLM-003,ENT-004,personal-knowledge,SRC-013,p.2 rows 05/02/25-06/25/25,The ledger shows four tenders and THREE reversals. The 05/17/2025 tender was NEVER reversed and remains the Ending Unapplied Balance.,MATERIAL DISCREPANCY: the pleading says EACH of the four was reversed. The ledger shows three of four. The pleading understates its own best fact.,Plaintiffs have personal knowledge of their own bank records; those records are NOT in the manifest.,material,high,"TWO PROBLEMS. (1) 'each of those payments was... reversed' is contradicted by the defendant's own ledger as to the 05/17/25 tender - and the unreversed one is the STRONGER fact. Correct it and the paragraph improves. (2) The date range '04/29/2025' does not match the ledger's first tender date of 05/02/2025; tender and posting dates differ, but the pleading should say which it means. DISP-003."
ALG-009,P 30,"A $10,000 principal-reduction payment on or about 09/15/2023 was reversed by a 'Principal Adjustment' entry",CLM-001;CLM-004,ENT-005,documented,SRC-013,"p.3 rows 09/15/23, 09/26/23","Confirmed: +$10,000.00 on 09/15/23, -$10,000.00 on 09/26/23, principal restored exactly.","Small but real: the ledger calls the reversing entry 'Principal Only Payment', not 'Principal Adjustment'.",,low,high,Quote the ledger's own words. A defendant that can say 'no such entry as a Principal Adjustment appears' gets a free point. DISP-004.
ALG-010,P 31,Plaintiffs tendered an $855 payment in 2023 that SHELLPOINT rejected despite sufficient funds,CLM-001;CLM-003,ENT-004,personal-knowledge,SRC-013,"p.3 rows 09/26/23, 10/11/23","The ledger shows $855.00 into suspense 09/26/23 and out 10/11/23, BOTH rows marked money type 'PriorServicer'. It shows no rejection and no reason.","TWO GAPS: (1) the ledger does not show a rejection, only movement through suspense; (2) both rows predate Shellpoint's 07/07/2024 boarding by ten months and are marked PriorServicer.",Plaintiffs have personal knowledge of the tender and of funds on deposit; the bank record is not in the manifest.,material,high,"MISATTRIBUTED DEFENDANT. This conduct, if anyone's, is SLS's. Asserting it against Shellpoint is contradicted by the defendant's own ledger and is curable by redraft. DISP-005."
