index_id,original_name,original_system,original_location,sha256,byte_size,content_hash_group,dedupe_status,duplicate_of,text_layer,ocr_status,ocr_tool,page_count,classification,classification_basis,classification_confidence,imported_date,source_id,original_preserved,notes
IDX-001,"First Amended Verified Complaint (Google Doc, 9 counts)",google-drive,"Google Drive (client repository) — read in place, never downloaded",NOT-COPIED,,,read-in-place,,native-text,not-required,none,,complaint,doc_type set by a human from the document's own heading,high,2026-09-21,SRC-001,yes,"examined at its own location and never copied; no extract taken, so nothing in this pack quotes it"
IDX-002,"ORDER Doc. 34 (7/20/2026, Story, J.)",google-drive,"Google Drive (client repository) — read in place, never downloaded",NOT-COPIED,,,read-in-place,,native-text,not-required,none,,order,doc_type set by a human from the document's own heading,high,2026-09-21,SRC-002,yes,examined at its own location and never copied; verbatim extract SRC-010 carries the passages relied on
IDX-003,"ORDER Doc. 35 (7/31/2026, Howard, M.J.)",google-drive,"Google Drive (client repository) — read in place, never downloaded",NOT-COPIED,,,read-in-place,,native-text,not-required,none,,order,doc_type set by a human from the document's own heading,high,2026-09-21,SRC-003,yes,examined at its own location and never copied; verbatim extract SRC-011 carries the passages relied on
IDX-004,Plaintiffs' First Requests for Production,google-drive,"Google Drive (client repository) — read in place, never downloaded",NOT-COPIED,,,read-in-place,,native-text,not-required,none,,motion,doc_type set by a human from the document's own heading,high,2026-09-21,SRC-004,yes,"examined at its own location and never copied; no extract taken, so nothing in this pack quotes it"
IDX-005,"Shellpoint CFPB response letter (Dewhurst, 3/2/2026)",google-drive,"Google Drive (client repository) — read in place, never downloaded",NOT-COPIED,,,read-in-place,,native-text,not-required,none,,correspondence,doc_type set by a human from the document's own heading,high,2026-09-21,SRC-005,yes,examined at its own location and never copied; verbatim extract SRC-012 carries the passages relied on
IDX-006,"Loan History Statement, Loan ID 1030418553",google-drive,"Google Drive (client repository) — read in place, never downloaded",NOT-COPIED,,,read-in-place,,native-text,not-required,none,,ledger,doc_type set by a human from the document's own heading,high,2026-09-21,SRC-006,yes,examined at its own location and never copied; verbatim extract SRC-013 carries the passages relied on
IDX-007,2026-03-16_SHELLPOINT_loan_ledger_2.xlsx (annotated),google-drive,"Google Drive (client repository) — read in place, never downloaded",NOT-COPIED,,,read-in-place,,n/a,not-required,none,,ledger,doc_type set by a human from the document's own heading,high,2026-09-21,SRC-007,yes,"examined at its own location and never copied; no extract taken, so nothing in this pack quotes it"
IDX-008,CourtListener RECAP docket 73... (metadata only),courtlistener,"CourtListener RECAP — read via API, never downloaded",NOT-COPIED,,,read-in-place,,native-text,not-required,none,,docket-sheet,doc_type set by a human from the document's own heading,high,2026-09-21,SRC-008,yes,examined at its own location and never copied; verbatim extract SRC-014 carries the passages relied on
IDX-009,SRC-010-extract-doc34-order.txt,litigation-os,03-sources/raw/SRC-010-extract-doc34-order.txt (extract produced in this workspace),31ca682329032a9325e98118a25982f9d20da099a20f1a7f38a80ba0277aa404,10312,31ca68232903,extract,,native-text,n/a,none,,order,inherited from SRC-002,high,2026-09-21,SRC-010,yes,verbatim extract of SRC-002; every finding resting on it inherits that parent's access ceiling
IDX-010,SRC-011-extract-doc35-order.txt,litigation-os,03-sources/raw/SRC-011-extract-doc35-order.txt (extract produced in this workspace),8dc185fdef23ec7984c05afdf46499ebff81d57c57aae841e6f16b6c92e555c7,7420,8dc185fdef23,extract,,native-text,n/a,none,,order,inherited from SRC-003,high,2026-09-21,SRC-011,yes,verbatim extract of SRC-003; every finding resting on it inherits that parent's access ceiling
IDX-011,SRC-012-extract-cfpb-response.txt,litigation-os,03-sources/raw/SRC-012-extract-cfpb-response.txt (extract produced in this workspace),43ef21df589452b4597570da30e59824709596cb6532f74eb352df5c418c64eb,3739,43ef21df5894,extract,,native-text,n/a,none,,correspondence,inherited from SRC-005,high,2026-09-21,SRC-012,yes,verbatim extract of SRC-005; every finding resting on it inherits that parent's access ceiling
IDX-012,SRC-013-extract-loan-history.txt,litigation-os,03-sources/raw/SRC-013-extract-loan-history.txt (extract produced in this workspace),ede57d06c5208ec2d0daca1e8bcd705c8cd2f871db51ca5baf7e105fe6d714bf,15466,ede57d06c520,extract,,native-text,n/a,none,,ledger,inherited from SRC-006,high,2026-09-21,SRC-013,yes,verbatim extract of SRC-006; every finding resting on it inherits that parent's access ceiling
IDX-013,SRC-014-extract-courtlistener-docket.txt,litigation-os,03-sources/raw/SRC-014-extract-courtlistener-docket.txt (extract produced in this workspace),8989a6fa613784245ef0e2b9095534416266648c6eaf6672a3c92dcbf6a99210,1271,8989a6fa6137,extract,,native-text,n/a,none,,docket-sheet,inherited from SRC-008,high,2026-09-21,SRC-014,yes,verbatim extract of SRC-008; every finding resting on it inherits that parent's access ceiling
IDX-014,"PLAINTIFFS' FIRST AMENDED COMPLAINT (markdown, 2026-08-19, 16 counts)",google-drive,"Google Drive (client repository) — read in place, never downloaded",NOT-COPIED,,,read-in-place,,native-text,not-required,none,,complaint,doc_type set by a human from the document's own heading,high,2026-09-21,SRC-020,yes,examined at its own location and never copied; verbatim extract SRC-021 carries the passages relied on
