action_id,action,prevents_attack_ids,addresses_defect_ids,owner,effort,deadline_pressure,done_when,status,notes
CA-01,Ask the client for their own NOE/RFI sent file and the thirteen acknowledgment letters pleaded at PP 33-36,ATK-001;ATK-010,PD-07,attorney,1 hour,Before any response to a renewed motion to dismiss,"The inquiries and acknowledgments are in hand, or their absence is confirmed in writing",open,THE SINGLE HIGHEST-VALUE HOUR IN THIS MATTER. Counts I-III currently fail on this element and the documents are said to be in the client's possession. GAP-003.
CA-02,"Correct P 29 to plead three reversals and one retained-but-unapplied tender of $1,899.56",ATK-002,PD-08,drafter,10 minutes,Before any filing,P 29 matches SRC-013 p.2 and the totals block at p.5,open,The correction STRENGTHENS the allegation. As drafted the pleading understates its own best evidence and is contradicted by its own Exhibit 15.
CA-03,"Narrow the FDCPA count to conduct on or after 2026-03-02, or plead a tolling theory with its basis",ATK-003,PD-12,drafter,30 minutes,Before any filing,"No pre-period conduct is pleaded in Count VII, or a tolling theory appears with its factual basis",open,Retains the entire 2025 trial-payment sequence and the whole 12/2025-01/2026 four-letter sequence. CONFIRM the one-year period at 15 U.S.C. 1692k(d) first - it is UNRESEARCHED.
CA-04,"Obtain the origination and disbursement file: settlement statement, disbursement schedule, wire confirmations, creditor payoff confirmations",ATK-004,,attorney,days,Before Count IX is relied on,"The disbursement trail for the $149,650.00 face amount is documented end to end",open,GAP-001. Judge Bagley identified this as the question many claims turn on (SRC-010 Doc. 34 at 7). Count IX lives or dies on it.
CA-05,"Retrieve the published foreclosure notices with publication affidavits, and the Mercer Advisors offer, rescission and any adverse-action notice",ATK-005,,attorney,days,Before the wrongful-foreclosure count is relied on,Both elements of the attempted-wrongful-foreclosure count are documented,open,GAP-007 and GAP-008. The notices are public records; the employment documents need the client and a third-party subpoena.
CA-06,Reattribute P 31 (the $855 payment) from Shellpoint to SLS,ATK-006,PD-07,drafter,5 minutes,Before any filing,P 31 names SLS and matches the ledger's PriorServicer marker on both rows,open,"The ledger dates both $855 rows to 09-10/2023, ten months before Shellpoint's 07/07/2024 boarding, which the pleading itself pleads at P 27."
CA-07,Renumber P 3's cross-references so 'Count X' and 'Count XI' match the actual headings (Counts IX and X),ATK-007,PD-13,drafter,5 minutes,Before any filing,P 3's count references match the Count headings exactly,open,"Trivial alone. In a pleading filed under an order to replead carefully, a self-inconsistent cross-reference invites a harsh reading of everything else."
CA-08,Prepare a one-page statement of what is actually triable and on what schedule,ATK-009,,attorney,1 hour,Ready if the court asks,A one-page narrowing statement exists,open,"The answer to the district-judge seat is not argument, it is closing three evidence gaps and being able to say so briefly."
CA-09,Remove the annotated spreadsheet SRC-007 from the working set and cite it nowhere,,,attorney,5 minutes,Immediately,"SRC-007 appears in no draft, schedule or argument",open,Its 'RED FLAG' annotation on the 08/05/2022 row mischaracterises the opening-balance booking as an anomalous negative payment. Advancing it would be refuted in one sentence and would colour every other accounting argument.
CA-10,Keep every theory on the rejected-theory warning list out of all drafts,,,drafter,ongoing,Every draft,No listed theory appears in any pleading or brief,open,From RESULT-006. A single rejected securitization theory makes the rest of the pleading read as weaker than it is.
