task_id,title,specialist,assignment_id,wave,status,depends_on,blocks,opened_date,completed_date,output_path,unresolved_questions,decision_supported,notes
TSK-001,Reconstruct the docket and the deadline register from the orders actually read,docket-deadline-paralegal,ASSIGN-CARRELHA-2026-001,1,complete,,TSK-004;TSK-007,2026-09-20,2026-09-20,10-specialist-results/RESULT-CARRELHA-2026-001-docket.md,OFQ-1,Whether any deadline is live and what response the court's orders require,No PACER access; the docket register is built from the two orders and a RECAP record with zero entries
TSK-002,Build the source manifest chronology entity index and contradiction register,evidence-chronology-paralegal,ASSIGN-CARRELHA-2026-002,1,complete,,TSK-004;TSK-005;TSK-006;TSK-008,2026-09-20,2026-09-20,10-specialist-results/RESULT-CARRELHA-2026-002-evidence.md,OFQ-2;OFQ-3,Which factual propositions the record can actually carry,41 chronology rows and 8 contradictions from 19 sources
TSK-003,Determine the controlling shotgun-pleading and repleading authority,legal-research-paralegal,ASSIGN-CARRELHA-2026-003,1,complete,,TSK-004,2026-09-20,2026-09-20,10-specialist-results/RESULT-CARRELHA-2026-003-research.md,OLQ-1;OLQ-5;OLQ-6,What standard the magistrate will apply to a repleaded complaint,No citator available; every good-law finding is capped at citator-limited medium
TSK-004,Element-by-element survival analysis and Rule 15 amendment options,pleading-amendment-analyst,ASSIGN-CARRELHA-2026-004,2,complete,TSK-001;TSK-002;TSK-003,TSK-007;TSK-008,2026-09-20,2026-09-20,10-specialist-results/RESULT-CARRELHA-2026-004-pleading.md,OLQ-7,Whether to amend and which counts to carry forward,Element formulations remain unresearched and are flagged in every affected row
TSK-005,Transaction-level reconciliation of the 72-row servicing ledger,loan-accounting-analyst,ASSIGN-CARRELHA-2026-005,2,complete,TSK-002,TSK-007,2026-09-20,2026-09-20,10-specialist-results/RESULT-CARRELHA-2026-005-accounting.md,OFQ-4;OFQ-7,Which disputed amounts can be put in front of a court as arithmetic,72 transactions reconciled; 7 disputed amounts isolated
TSK-006,Trace ownership funding and the asserted chain of title,securitization-ownership-analyst,ASSIGN-CARRELHA-2026-006,2,complete,TSK-002;TSK-003,TSK-007;TSK-008,2026-09-20,2026-09-20,10-specialist-results/RESULT-CARRELHA-2026-006-ownership.md,OFQ-5;OFQ-8,Whether an ownership challenge is viable or is a rejected theory,No primary ownership instrument was read; the finding rests on secondary records only
TSK-007,Convert proven gaps into targeted defendant-specific discovery,discovery-planning-analyst,ASSIGN-CARRELHA-2026-007,3,complete,TSK-001;TSK-004;TSK-005;TSK-006,,2026-09-20,2026-09-20,10-specialist-results/RESULT-CARRELHA-2026-007-discovery.md,,What to serve first once discovery opens,9 requests each traced to a gap or an element
TSK-008,Attack the matter from five adversarial seats and rank what survives,adversarial-redteam-analyst,ASSIGN-CARRELHA-2026-008,3,complete,TSK-002;TSK-004;TSK-006,,2026-09-20,2026-09-20,10-specialist-results/RESULT-CARRELHA-2026-008-redteam.md,,Which arguments are safe to put in a filing and which are not,10 attacks ranked; 10 corrective actions opened
TSK-009,Stand up the Phase 3 operating layer on this matter,matter-operations-manager,ASSIGN-CARRELHA-2026-009,1,complete,,TSK-010;TSK-011,2026-09-21,2026-09-21,00-control/command-center.md,,Whether this matter can be operated across sessions without losing state,Access map source index task board citation register approval gate and command center
TSK-010,Verify every authority the work product already relies on,legal-research-paralegal,ASSIGN-CARRELHA-2026-010,2,in-progress,TSK-009,TSK-012,2026-09-21,,,OLQ-5;OLQ-6;OLQ-7,Whether any citation in the draft package can be relied on,Ames and 1692k(d) and the element formulations are still unresearched
TSK-011,Produce and QC the attorney-review package,document-production-qc,ASSIGN-CARRELHA-2026-011,3,complete,TSK-009,TSK-012,2026-09-21,2026-09-21,12-workproduct/production-log.csv,,Whether a human can review a formatted document rather than a register,Drafts only; nothing is filed served or sent
TSK-012,Obtain attorney decision on the amendment route,litigation-matter-orchestrator,ASSIGN-CARRELHA-2026-012,3,blocked,TSK-010;TSK-011,,2026-09-21,,,HD-1;HD-2;OFQ-1,Which procedural response is actually filed and when,Blocked on citation verification and on confirming which complaint is the operative one
