contradiction_id,subject,statement_a,source_id_a,pinpoint_a,date_a,statement_b,source_id_b,pinpoint_b,date_b,nature_of_conflict,is_genuine_conflict,innocent_explanations,who_is_bound_by_it,materiality,related_claim_ids,use_case,verification_status,confidence,notes
CON-001,"The $5,200.00 wire payment","'Plaintiffs remitted a verified $5,200.00 wire payment toward the account to cure all outstanding discrepancies' and 'Defendants received and accepted the $5,200.00 payment but failed to credit it'",SRC-001,Sec. IV.B paras. 3-4,2026-08-UNVERIFIED,"The servicer's own 5-page Loan History Statement for loan 1030418553, covering 08/05/22 through 02/27/26, contains NO entry of $5,200.00 in any column - not as a payment, not as an unapplied/suspense credit, and not as a reversal. The only suspense entries in the Shellpoint era are four web payments of $1,899.56 each.",SRC-013,"pp.1-5, all rows; totals block p.5",2026-03-10,"A pleaded payment that does not appear in the business record that would be expected to show it, even as suspense",unresolved,"(1) The payment may have been made to SLS before the 2024 servicing transfer and not carried forward onto Shellpoint's system - but the ledger includes PriorServicer rows back to 08/05/22, so a $5,200 payment in that period should appear. (2) The payment may have been applied to the other loan number (5000019200) or to a different account. (3) The funds may have been returned before posting, which some systems do not record on the borrower statement. (4) The pleading's figure may be an aggregate of smaller payments rather than a single wire. (5) The ledger print may be incomplete despite appearing to be a full history.",Plaintiffs are bound by the allegation in a verified pleading. Shellpoint is bound by its own business record.,dispositive,CLM-001;CLM-003;CLM-004,discovery-target,Requires the wire confirmation from the sending bank and the complete servicing file for BOTH loan numbers from BOTH servicers,high,"THIS IS THE MOST IMPORTANT FINDING IN THIS ASSIGNMENT. The $5,200.00 wire is the factual core of the performance element of the breach claim and of the payment-application theory under RESPA and the FDCPA. On the present record it is an allegation with no documentary support, and the defendants' own ledger - the document a factfinder would look to first - affirmatively does not show it. Marked 'unresolved' rather than 'yes' because a genuine conflict requires two sources speaking to the same fact, and here one side is silence; but the practical effect is the same and it is urgent."
CON-002,Date servicing transferred from SLS to Shellpoint,"'On or about June 20, 2024, the loan servicer of the HELOC was transferred from SLS to Shellpoint Mortgage Servicing'",SRC-010,Doc. 34 at 3 n.4,2026-07-20,"The Shellpoint ledger books a 'New Loan' row dated 07/07/24, transaction amount $0.00, opening principal $140,288.02",SRC-013,"p.3, row dated 07/07/24",2026-03-10,A 17-day divergence between the stated transfer date and the servicer's own boarding date,no,"Transfer of servicing rights, the effective date of transfer, and the date the loan is boarded onto the new servicer's system are three different events and routinely differ by days or weeks. Doc. 34's date is also hedged ('on or about') and appears in a background footnote drawn from the parties' materials, not in a finding.",n/a,immaterial,n/a,none,"No further verification needed unless a RESPA transfer-notice timing claim is pleaded, in which case the exact effective date becomes material",high,"Recorded and dismissed deliberately. A register that treated this as a contradiction would dilute CON-001. If a 12 U.S.C. 2605(b)-(c) transfer-notice claim is pursued, promote this to material and obtain the actual transfer agreement and notices."
CON-003,Negative 'Principal Only Payment' entries that increase the balance,"Three ledger rows coded 'Principal Only Payment' carry negative amounts and increase the principal balance: 08/05/22 -$149,650.00; 11/16/22 -$2,900.00; 02/09/23 -$1,700.00",SRC-013,"p.5, rows dated 08/05/22, 11/16/22, 02/09/23",2026-03-10,"A fourth negative 'Principal Only Payment' row, 09/26/23 -$10,000.00, has a matching positive $10,000.00 entry eleven days earlier (09/15/23) and is plainly a reversal",SRC-013,"p.3, rows dated 09/15/23 and 09/26/23",2026-03-10,"The same transaction code and sign carry at least two different meanings within one document, and the document does not say which applies where",unresolved,"This is a HELOC, not an amortizing mortgage. Additional draws on the line increase principal, and a servicing system that has no separate draw code will post them through whatever principal code it has. The 08/05/22 row is almost certainly the origination booking rather than any payment at all. On that reading none of these rows is an anomaly.",Shellpoint is bound by its own ledger's coding.,material,CLM-001;CLM-004,discovery-target,Requires the servicer's transaction-code key and the draw history for the line of credit,medium,"IMPORTANT CORRECTIVE FINDING. The annotated spreadsheet SRC-007 labels the 08/05/22 row 'RED FLAG: NEGATIVE principal payment: $-149,650.00' and the 11/16/22 row 'RED FLAG #1: Negative principal payment INCREASES balance by $2,900'. Read against the original ledger (SRC-013), the 08/05/22 row is the opening-balance booking and the characterization is wrong. Advancing that annotation as a servicing irregularity would be a significant credibility error. The 11/16/22 and 02/09/23 rows remain genuinely unexplained and are worth discovery; the 08/05/22 row is not."
CON-004,When foreclosure was initiated and by whom,"'In February 2024, once Plaintiffs fell behind on monthly payments, SLS wrote to Plaintiffs concerning the default. SLS initiated non-judicial foreclosure proceedings against the Property' and 'Since that time, several foreclosure sales have been scheduled and postponed.'",SRC-010,Doc. 34 at 3 n.4,2026-07-20,"'Due to the severity of the delinquency, the account was referred for foreclosure on January 5, 2026.'",SRC-012,letter p.1,2026-03-02,"Two different accounts of when the foreclosure process began - early 2024 by SLS, or January 2026 by Shellpoint",no,"'Initiated non-judicial foreclosure proceedings' (the court's phrase, describing the 2024 SLS process) and 'referred for foreclosure' (Shellpoint's phrase, describing an internal referral to foreclosure counsel) describe different acts. The ledger supports both: default-related charges begin 05/06/24 under SLS, and a fresh cluster of attorney and FC-cost disbursements begins in late 2025 and January 2026. The most likely reading is a 2024 foreclosure that was abandoned or postponed and a fresh 2026 referral.",n/a,impeachment-only,CLM-003;CLM-006,impeachment,Requires the 2024 SLS foreclosure file and Shellpoint's referral records,medium,"Not a genuine conflict, but the sequence matters: if there were two separate foreclosure processes, each required its own notices, and the adequacy of the second cannot be assumed from the first."
CON-005,Shellpoint's stated inability to postpone the sale,"'As of the date of this letter, the foreclosure sale is still scheduled for March 3, 2026 and we are unable to accommodate your request to cancel or postpone the foreclosure sale date.'",SRC-012,letter p.1,2026-03-02,"'Foreclosure was scheduled to occur on March 3, 2026, but was voluntarily postponed by Shellpoint.'",SRC-010,"Doc. 34 at 4, citing Dkt. 27 and the Alsaadi Decl. para. 14",2026-07-20,"Shellpoint told the borrower on March 2 that it was unable to postpone the March 3 sale, and the sale was then voluntarily postponed by Shellpoint",unresolved,"(1) 'Unable to accommodate your request' may mean unwilling to do so at the borrower's request rather than incapable of postponing - a common formulation in servicer correspondence. (2) The state court held an interlocutory injunction hearing on March 5 and Judge Bagley recorded on March 6 that the March 3 sale had been withdrawn; the postponement may well have followed the March 2 TRO filing and the court's involvement, so the position could have changed legitimately within a day. (3) The postponement decision may have been made by a different department or by counsel rather than by the compliance department that wrote the letter.",Shellpoint is bound by its own compliance-department letter and by the Alsaadi Declaration.,impeachment-only,CLM-001;CLM-003,impeachment,"Requires the Alsaadi Declaration (Doc. 27), Shellpoint's internal postponement records, and the exact postponement date",medium,"Worth preserving for cross-examination rather than for a motion. The innocent explanations are strong enough that pressing this as a misrepresentation on the present record would be unwise, but if the postponement was decided before March 2 the letter becomes a serious problem for Shellpoint."
CON-006,Whether the payment history enclosed with the 3/2/26 letter is the ledger relied on,"The 03/02/2026 letter lists 'payment history' among its enclosures: 'Enclosures: Fraud Package, January 16, 2026 response, payment history'",SRC-012,"letter, enclosures line",2026-03-02,The Loan History Statement obtained bears a print timestamp of 03/10/2026 12:57:58PM,SRC-013,"header, each page",2026-03-10,A document printed eight days after a letter cannot have been enclosed with that letter,yes,"The enclosure to the letter was a different print of the same underlying data, and the copy in the client's file is a later reprint requested or generated afterward. That is the most likely explanation - but it means the document actually mailed on March 2 has not been produced, and the two prints need not be identical.",Shellpoint is bound by both its enclosure list and its print timestamps.,material,CLM-001,discovery-target,Requires the as-mailed enclosure and Shellpoint's record of what was sent on 03/02/2026,high,"A narrow but clean finding. It matters because a RESPA adequacy-of-response argument turns on what was actually provided, and because any comparison between the two prints could reveal post-hoc changes to the ledger."
CON-007,The First Amended Complaint's cross-reference to 'Paragraphs 1 through 46',Each of the nine Counts states: 'Plaintiffs reallege and incorporate by reference Paragraphs 1 through 46 as if fully set forth herein.',SRC-001,"Counts I-IX, first paragraph of each",2026-08-UNVERIFIED,"The pleading's paragraph numbering restarts at 1 within each Roman-numeral section (I. Nature; II. Jurisdiction; III. Parties; IV.A-F Factual Allegations), so there are at least nine paragraphs bearing the number 1 and no paragraph uniquely identified as 46",SRC-001,"Secs. I, II, III, IV.A-F",2026-08-UNVERIFIED,An internal inconsistency: the document cross-references a continuous numbering it does not itself use,yes,"The drafter intended continuous numbering and the reference is arithmetically exact under that intent: counting continuously, Sec. I has 2 paragraphs, II has 4 (6), III has 7 (13), IV.A has 6 (19), IV.B has 5 (24), IV.C has 7 (31), IV.D has 3 (34), IV.E has 8 (42), and IV.F has 4 - ending at exactly 46, the last paragraph of the factual allegations. The intent is therefore unambiguous even though the rendering is not; a renumbering pass fixes it entirely.",Plaintiffs are bound by their own pleading.,material,DEF-001,summary-judgment-dispute,Requires the as-filed document; the draft's rendering may differ from what was filed,high,"Recorded as a contradiction because it is an internal inconsistency in a pleading filed under an order requiring each factual allegation to be set out 'in separate numbered paragraphs'. It is also the cheapest defect in this matter to fix. Whether the cross-reference method itself satisfies Doc. 35 is a legal question, routed to research as OLQ-1."
CON-008,Who owns this loan,"The MERS ServicerID lookup for MIN 1015066-5000019200-2, retrieved 2026-03-24, identifies the Investor as 'FREED Mortgage Trust 2022-HE1'",SRC-021,P 20 (describing Ex. 6),2026-03-24,"'The current owner of this loan is MEB Loan Trust VIII Trust and their address is: Mailing Address: C/O US Bank Trust National Assoc 1101 Centre Road, Suite 203 Wilmington, DE 19805' - and the Recorded Assignment separately recites MEB as 'a[n] CORPORATION organized under the laws of NEW YORK'",SRC-021,"PP 19, 22 (describing Exs. 1 and 5)",2026-01-16,"Two records maintained or populated by the same defendants name different entities in connection with ownership of the same loan, and a third record gives the same entity a different type and state",unresolved,"(1) 'Investor' in a registry lookup and 'current owner' in a servicer letter may answer different questions - a trust can hold a loan while a different entity is recorded as investor. (2) Registry investor fields are servicer-populated and frequently stale; the 2026-03-24 value may simply not have been updated after the 2024 assignment. (3) The 'CORPORATION organized under the laws of NEW YORK' recital is most likely a form-field error by the assignment's preparer, not a statement about the entity's real form. (4) A corporate-trust-services 'c/o' address is ordinary for a trust and says nothing about the trust's own domicile.",Shellpoint is bound by its own letter and by the registry data it populates. MEB is bound by the recital in the instrument it accepted.,material,CLM-007;CLM-009,discovery-target,NEITHER Ex. 5 NOR Ex. 6 WAS READ. Both are known only through SRC-021's quotations. The assignment is a public record obtainable today.,medium,"ITS VALUE IS NOT WHAT IT FIRST APPEARS. This is not a title defect and should not be pleaded as one - under Georgia law a borrower's standing to challenge an assignment is sharply limited (Ames, UNRESEARCHED here). Its value is that the DEFENDANTS' OWN RECORDS disagree about who owns this loan, which goes to the reliability of the records underlying every figure in the case and raises no standing problem at all, because it does not challenge the assignment. See TRF-004 and AUTH-005."
CON-009,Which trust the ownership chain runs to,Plead that the chain 'terminates before reaching Fannie Mae REMIC Trust 2024-91',SRC-031,QuickRef s.1 item 1,2026-08-20,The asserted owners of this loan are MEB Loan Trust VIII (Witt Letter) and FREED Mortgage Trust 2022-HE1 (MERS ServicerID). No source names Fannie Mae or any REMIC Trust 2024-91,SRC-021,ownership allegations,2026-08-19,"A fact imported from a different case. Fannie Mae is a co-defendant in Caudell v. NewRez, the case the QuickRef uses as its template",yes,Drafting carry-over from the template document; the author may never have intended it for this matter,Plaintiffs - it would appear in their own pleading,material,,Internal correction before filing. Check the filed amended complaint for this language and strike it if present,verified,high,"Not a conflict between the parties' evidence. A conflict inside the plaintiffs' own preparation, which is the more dangerous kind because nobody on the other side has to find it."
CON-010,The case number and the presiding judge,"Case 2:26-cv-00110-SCJ-AWH, implying Judge Steve C. Jones",SRC-032,cover page,2026-05-03,Docket 73194013 records assigned_to Richard W. Story and referred_to Anna W. Howard; the orders are captioned RWS-AWH,SRC-036,docket fields,2026-09-21,A wrong judge in the caption of a document prepared to guide filings in this case,yes,"The case may have been reassigned after 2026-05-03, or the earlier document may simply be wrong. Either way the later record governs",Plaintiffs,material,,Anything drafted from SRC-032 or SRC-033 carries a wrong caption and must be re-checked before use,verified,high,A filing bearing the wrong judge's initials is a filing that announces it was not checked.
