attack_id,seat,target,attack_argument,best_support_for_them,source_ids,likelihood,damage_if_successful,cost_to_defend,our_best_answer,answer_strength,curability,credibility_risk,rank,corrective_action_id,confidence,basis_type,notes
ATK-001,defense,CLM-001,"Counts I-III fail because no qualifying notice of error was ever delivered to Shellpoint's designated address. Plaintiffs plead ten inquiries but produce none, and the only channel they identify is the CFPB complaint portal. Shellpoint's own correspondence states the designated error-resolution address is 'SLS Default - SMS P.O. Box 10826 Greenville, SC 29603-0826'. A complaint to a regulator is not a notice of error to that address.","SRC-012 notices page, which Plaintiffs themselves rely on for other purposes; and the absence of any NOE from the record.",SRC-012,high,claim-dispositive,low,"Plaintiffs say they hold the inquiries and the thirteen acknowledgments. If the acknowledgments exist, Shellpoint treated the submissions as triggering its duties, which is powerful evidence the notices were qualifying. But nothing is in the record yet.",weak,curable-only-with-evidence,no,1,CA-01,high,record-based,THE STRONGEST DISMISSAL ARGUMENT IN THE MATTER against the three RESPA counts. It is also entirely curable if the client's sent file contains what the pleading says it does.
ATK-002,rule11,ALG-008,"Paragraph 29 states that EACH of the four trial payments was reversed. The ledger Plaintiffs attach and rely on shows the May 17, 2025 payment was never reversed and remains the ending unapplied balance. Plaintiffs have pleaded a fact contradicted by their own exhibit.","SRC-013 p.2 and the totals block at p.5, both of which are Plaintiffs' own Exhibit 15.",SRC-013;SRC-021,high,partial,low,"It is a drafting error that UNDERSTATES our own case, not an overstatement. The correction makes the allegation both accurate and stronger. No sanction follows from an error that disadvantages the pleader.",adequate,curable-by-redraft,yes,2,CA-02,high,record-based,"Low legal risk, real credibility cost: an exhibit contradicting an allegation is the cheapest point a defendant can make, and this one is free to fix."
ATK-003,defense,CLM-003,"The FDCPA count is time-barred as to everything before March 2, 2025. Plaintiffs filed on March 2, 2026 and plead communications from 2023 and 2024. No continuing-violation or discovery theory is pleaded. The bar appears on the face of the pleading.",The pleading's own dates at PP 37-47 read against the filing date.,SRC-021;SRC-011,high,partial,low,"The 2025 trial-payment sequence and the entire December 2025 - January 2026 four-letter sequence are within the period, and they are the strongest FDCPA conduct pleaded. Narrowing costs nothing.",strong,curable-by-redraft,no,3,CA-03,high,analyst-reading,Limitations is an affirmative defense and supports dismissal only where the bar is facial. This pleading makes it facial unnecessarily. The one-year period at 15 U.S.C. 1692k(d) is UNRESEARCHED in this matter - confirm before relying on this.
ATK-004,defense,CLM-009,"The failure-of-consideration count fails because this is a debt-consolidation HELOC. Proceeds paid directly to Plaintiffs' creditors are consideration. Plaintiffs plead only that $51,409.50 reached their own account - which is exactly the cash-out component their own paragraph describes as consistent with a $50,000 cap. The disbursement schedule will show where the balance went.","SRC-021 P 18 itself, and SRC-023 describing Lendage's Debt Consolidation product as designed to pay off existing creditor debts.",SRC-021;SRC-023,high,claim-dispositive,low,"The burden is on the party asserting the obligation to show what was delivered, and Judge Bagley has already said the court needs 'the dates of delivery and the value of loan proceeds delivered to Plaintiffs and/or Plaintiffs' creditors'. If Defendants produce the schedule the count fails; if they cannot, the count is strong.",adequate,curable-only-with-evidence,no,4,CA-04,high,record-based,"STRATEGICALLY THE MOST IMPORTANT ATTACK TO UNDERSTAND. Count IX is the count that avoids the Ames standing bar, so it matters more than its current support suggests - and it is the count most exposed to a single document. Do not over-plead it before GAP-001 is closed."
ATK-005,defense,CLM-006,"The wrongful-foreclosure count fails on two independent elements: no published advertisement is identified or attached, and no special damages are documented. The Mercer Advisors offer, its rescission and any causal link are pleaded and nothing more.",The absence of any publication or employment document from the record.,,high,claim-dispositive,low,Both are obtainable - the legal-organ notices are public records and the employment documents are in the client's or a third party's hands. Neither requires party discovery.,weak,curable-only-with-evidence,no,5,CA-05,high,record-based,The largest damages figure in the case currently rests on an allegation.
ATK-006,defense,ALG-010,"Paragraph 31 alleges Shellpoint rejected an $855 payment. The ledger Plaintiffs rely on marks both $855 entries 'PriorServicer' and dates them September and October 2023 - ten months before Shellpoint boarded the loan on July 7, 2024, a date Plaintiffs themselves plead at paragraph 27.","SRC-013 p.3, Plaintiffs' own exhibit, read with their own P 27.",SRC-013;SRC-021,high,partial,low,Reattribute to SLS. The underlying fact survives intact; only the defendant changes.,strong,curable-by-redraft,yes,6,CA-06,high,record-based,"A defendant demonstrating from the plaintiff's own exhibit that it was not on the account at the time alleged is a cheap, memorable point that colours the reading of everything else."
ATK-007,magistrate,DEF-001,"I ordered a short, plain pleading in which each claim identifies its basis and the facts supporting it as to each defendant. I have received a sixteen-count pleading, longer than the one I struck, whose own paragraph 3 miscites its own count numbers and which asserts a failure-of-consideration count against two servicers who are not parties to the contract.",SRC-011 Doc. 35 at 8-9 read against SRC-021.,SRC-011;SRC-021,medium,partial,medium,"The pleading does exactly what the order required on the defect the order identified: no count incorporates a preceding count, every count identifies its statute and its defendants, and numbering is continuous. Count growth reflects claim separation, which the order also required.",strong,curable-by-redraft,yes,7,CA-07,medium,analyst-reading,The substance is defensible and the presentation is not. The internal miscite at P 3 and the Count IX defendant problem are free to fix and remove the impression of carelessness that makes this attack work at all.
ATK-008,appellate,DEF-001,"Plaintiffs' remand arguments - prior exclusive jurisdiction and the unanimity rule - were decided against them at Doc. 34. If those are to be preserved, the record must show they were raised and ruled on; re-arguing them now risks nothing but wastes the pleading, and abandoning them entirely may forfeit them.","SRC-010 Doc. 34 at 20, 23-25.",SRC-010,medium,partial,low,"Doc. 34 is an express ruling on both, so both are preserved by the ruling itself. Nothing further is needed now and nothing should be re-argued.",strong,n/a,no,9,,medium,analyst-reading,A preservation point that is already satisfied. Recorded so nobody spends a filing on it.
ATK-009,district-judge,CLM-009,"This is a sixteen-count pleading in which, on the plaintiffs' own account, the central factual questions are unresolved and the key documents are not in hand. What is actually triable here, and when?",The claim-survival matrix's own element_status values: four gaps and three pleaded-only elements across the counts analysed.,,medium,partial,medium,The narrowing is identifiable now: Counts I-III turn on one document set the client likely holds; Count VII is strong once narrowed to the limitations period; Count IX turns on one disbursement schedule. That is a tractable case.,adequate,curable-with-new-facts,no,8,CA-08,medium,analyst-reading,"The answer to this seat is not argument, it is closing three evidence gaps."
ATK-010,rule11,ALG-012,"Plaintiffs plead ten specific written inquiries and at least thirteen specific acknowledgments. If challenged to produce them and unable to, the specificity becomes the problem: it is not an estimate, it is a count.",The absence of any such document from anything produced so far.,,low,partial,low,"Plaintiffs state these are in their possession, and a borrower has personal knowledge of what they sent and received. The basis is adequate for pleading.",adequate,curable-only-with-evidence,yes,10,CA-01,medium,analyst-reading,Rule 11 risk is LOW - the basis is proper. The exposure is practical rather than sanctions-based: the same documents that answer this also decide Counts I-III.
