defect_id,defect_number,defect_name,present,pleading_analysed,where,what_the_test_showed,kind,severity,curability,cure,cost_if_not_cured,related_claim_ids,source_ids,confidence,notes
PD-01,1,Shotgun - incorporation of preceding counts,no,SRC-020/SRC-021 (16-count FAC dated 2026-08-19),every Count's opening paragraph,"Each Count incorporates only specifically identified numbered paragraphs, e.g. 'incorporate PP 11, 12, 13, 17-23, 28'. No Count adopts a preceding Count's allegations wholesale. P 2 states the discipline expressly.",n/a,cosmetic,n/a,none required,n/a,DEF-001,SRC-021,high,"THE DEFECT DOC. 35 IDENTIFIED IS CURED. This is the structure Weiland, 792 F.3d at 1324, expressly approves. Verified against the research result R-002."
PD-02,2,"Shotgun - conclusory, vague, immaterial facts",no,SRC-020/SRC-021 (16-count FAC dated 2026-08-19),Section F factual allegations,"Sampled PP 17-32 and 37-47: each is tied to an identifiable transaction, document or communication with a date. No orphan narrative found.",n/a,cosmetic,n/a,none required,n/a,DEF-001,SRC-021,medium,"Sampled, not exhaustive - only PP 17-32, 37 and 42 were read in the extract."
PD-03,3,Shotgun - claims not separated into counts,no,SRC-020/SRC-021 (16-count FAC dated 2026-08-19),Section G,"Sixteen discrete counts, each with its own legal basis heading and its own 'Against:' line.",n/a,cosmetic,n/a,none required,n/a,DEF-001,SRC-021,high,
PD-04,4,Shotgun - group pleading / count against a defendant with no basis,yes,SRC-020/SRC-021 (16-count FAC dated 2026-08-19),Count IX (Failure of Consideration),"Count IX is asserted against MEB, Shellpoint AND SLS. Shellpoint and SLS are pleaded as servicers, not as parties to the HELOC contract. A failure-of-consideration count cannot run against a non-party to the contract.",legal,partial,curable-by-redraft,Limit Count IX to MEB Loan Trust VIII.,A clean partial dismissal that costs credibility on the count's stronger half against MEB.,CLM-009,SRC-021,high,Count IX is strategically the most important count because it avoids the Ames standing bar. Do not weaken it with an obviously bad defendant.
PD-05,5,Ambiguous cross-reference,no,SRC-020/SRC-021 (16-count FAC dated 2026-08-19),every Count,Paragraph numbering is continuous 1-through-N across Sections A-J. Every 'PP X-Y' reference resolves to exactly one set of paragraphs.,n/a,cosmetic,n/a,none required,n/a,DEF-001,SRC-021,high,THE DEFECT PRESENT IN SRC-001 IS GONE. SRC-001 restarted numbering in each Roman-numeral section so 'Paragraphs 1 through 46' was ambiguous. This pleading fixed it.
PD-06,6,Caption / body mismatch,no,SRC-020/SRC-021 (16-count FAC dated 2026-08-19),caption and Count 'Against:' lines,"Five defendants captioned; each is the target of at least one Count. LENDAGE, LLC IS NOT IN THIS CAPTION.",n/a,cosmetic,n/a,none required,n/a,,SRC-021;SRC-010,high,"MATERIAL IMPROVEMENT OVER SRC-001, which captioned Lendage while asserting no count against it - directly contrary to Doc. 34 at 21 and 22 n.11. Dropping Lendage removes the Rule 10(a) problem and the add-a-party question entirely."
PD-07,7,Missing defendant-specific facts,yes,SRC-020/SRC-021 (16-count FAC dated 2026-08-19),Counts I-III as against SLS (ENT-005),"Facts specific to SLS exist and are good (PP 24, 30, 42 - the $10,000 reversal, the $855 suspense movement, the reinstatement reporting), but P 31 attributes SLS-era conduct to Shellpoint.",factual,partial,curable-by-redraft,Reattribute P 31 to SLS. The ledger marks both $855 rows 'PriorServicer' and they predate Shellpoint's 07/07/2024 boarding by ten months.,A defendant demonstrating from the plaintiff's own cited ledger that it did not exist on the account at the time alleged.,CLM-001;CLM-003,SRC-021;SRC-013,high,This is the single most checkable factual error in the pleading and the cheapest to fix.
PD-08,8,Exhibit conflict,yes,SRC-020/SRC-021 (16-count FAC dated 2026-08-19),P 29 against the Ledger (Ex. 15 / SRC-013),"P 29 pleads that EACH of the four TPP payments was reversed. The ledger Plaintiffs themselves rely on shows the 05/17/2025 tender was NEVER reversed and remains the Ending Unapplied Balance of $1,899.56.",factual,partial,curable-by-redraft,Plead three reversals and one retained-but-unapplied tender. The correction STRENGTHENS the count.,An exhibit contradicting an allegation is generally credited over the allegation - and here it would cost Plaintiffs their best documented fact.,CLM-001,SRC-021;SRC-013,high,THE MOST VALUABLE FINDING OF THIS SCAN. The pleading understates its own strongest evidence.
PD-09,9,Jurisdictional defects,no,SRC-020/SRC-021 (16-count FAC dated 2026-08-19),PP 5-8,"Federal question pleaded under RESPA, FCRA, FDCPA and TILA; supplemental jurisdiction under 1367; venue under 1391(b). Doc. 34 at 24-25 already upheld removal jurisdiction.",n/a,cosmetic,n/a,none required,n/a,,SRC-021;SRC-010,high,
PD-10,10,Standing,yes,SRC-020/SRC-021 (16-count FAC dated 2026-08-19),Count XIV (Loss of Consortium) and the FCRA counts as to Kelsey Carrelha,"The extract does not show facts establishing Kelsey Carrelha's separate injury for each count in which she joins. P 10 pleads she is a borrower and joint tenant, which supports some counts but was not traced count by count.",legal,partial,curable-by-redraft,"Plead each Plaintiff's injury per count, or limit counts to the Plaintiff who suffered the pleaded injury.",A partial dismissal as to one Plaintiff on counts where her injury is not pleaded.,,SRC-021,low,"CONFIDENCE LOW - the Counts section was read only at heading level, not in full. This is a flag to check, not a finding."
