row_id,entity_id,entity_name_verbatim,entity_type_verbatim,role,asserted_by_source_id,pinpoint,as_of_date,conflicting_assertion_source_ids,aliases,notes
ERM-001,ENT-008,"Lendage, LLC",a real estate finance company / California limited liability company,originator,SRC-023,"press release, originator paragraph",2022-11-08,,,SRC-021 P17 independently states Lendage is the originating lender on the face of the Loan Documents. SRC-010 Doc. 34 at 3 n.4 agrees.
ERM-002,ENT-008,"Lendage, LLC","subsidiary of Freedom Financial Network Funding, LLC and Lendage Holding, LLC, under Pantheon Freedom, Inc.",pool-originator-for-FREED-2022-HE1,SRC-023,ownership paragraph,2022-11-08,,,Establishes the corporate family only. Does not connect this loan to that pool.
ERM-003,ENT-006,"Mortgage Electronic Registration Systems, Inc.",Delaware corporation,nominee-grantee-under-security-deed,SRC-021,P17,2022-07-21,,MERS,"Designated 'nominee for Lender and Lender's successors and assigns' and grantee of record. A nominee role, not ownership."
ERM-004,ENT-006,MERS as nominee for Lendage,nominee,assignor-of-security-deed,SRC-021,"P19 (quoting the Recorded Assignment, Ex. 5)",2024-02-19,,,"THE ASSIGNMENT INSTRUMENT ITSELF WAS NOT READ. SRC-021 quotes it; the quotation is the source, not the instrument."
ERM-005,ENT-003,MEB Loan Trust VIII,a[n] CORPORATION organized under the laws of NEW YORK,assignee-of-security-deed,SRC-021,"P19 (quoting Ex. 5, the Recorded Assignment)",2024-02-19,SRC-012;SRC-023,MEB,"ENTITY-TYPE RECITAL RECORDED VERBATIM. A trust recited as a New York corporation is a facial inconsistency in the instrument. Narrow, factual, and checkable against the instrument once obtained."
ERM-006,ENT-003,MEB Loan Trust VIII Trust,"trust, c/o US Bank Trust National Assoc, 1101 Centre Road, Suite 203, Wilmington, DE 19805",owner-of-debt,SRC-021,"P22 (quoting the Witt Letter, Ex. 1)",2026-01-16,SRC-023,MEB,The servicer's own letter calls MEB the 'current owner of this loan' and gives a Delaware corporate-trust-services address. Different entity type AND different state from the assignment recital at ERM-005.
ERM-007,ENT-011,FREED Mortgage Trust 2022-HE1,issuing trust (RMBS),investor,SRC-021,"P20 (MERS ServicerID lookup for MIN 1015066-5000019200-2, retrieved 2026-03-24, Ex. 6)",2026-03-24,SRC-012,FREED 2022-HE1,"A REGISTRY LOOKUP IS A SERVICING-SYSTEM RECORD POPULATED BY THE SERVICER, NOT A TITLE RECORD. It answers 'investor', which is not the same question as 'owner of the debt'. THE LOOKUP ITSELF WAS NOT SEEN - SRC-021 describes it."
ERM-008,ENT-011,FREED Mortgage Trust 2022-HE1,issuing trust,issuer-of-rated-notes,SRC-023,"press release, first paragraph",2022-11-08,,,"Cut-Off Date September 30, 2022; 3,292 HELOCs; $174,776,710 UPB; all originated by Lendage."
ERM-009,ENT-012,"Series B, a series of Freedom Consumer Credit Fund, LLC",series of a limited liability company,sponsor,SRC-023,sponsor paragraph,2022-11-08,,the Fund,Securitization sponsor for FREED 2022-HE1.
ERM-010,ENT-005,"Specialized Loan Servicing, LLC",Delaware limited liability company,servicer,SRC-021,P24,2022-08-04 to 2024-07-07,SRC-010,SLS,"SRC-021 P24 says SLS serviced from on or about 08/04/2022 to 07/07/2024. SRC-010 Doc. 34 at 3 n.4 says the transfer to Shellpoint was 'on or about June 20, 2024'. See TRF-005."
ERM-011,ENT-004,NewRez LLC d/b/a Shellpoint Mortgage Servicing,Delaware limited liability company,servicer,SRC-013,p.3 row 07/07/24 'New Loan',2024-07-07,SRC-010,Shellpoint;NewRez,The servicer's own boarding entry is the best evidence of when it took the system of record.
ERM-012,ENT-004,Newrez LLC dba Shellpoint Mortgage Servicing,debt collector (self-described),debt-collector,SRC-012,notices page,2026-03-02,,,Party admission: 'is a debt collector. This is an attempt to collect a debt.'
ERM-013,ENT-013,US Bank Trust National Assoc,national association,trust-services-address-for-MEB,SRC-021,P22 (quoting Ex. 1),2026-01-16,,,"Named only as a 'c/o' mailing address. NOTHING IN THE SOURCES STATES THAT THIS ENTITY IS TRUSTEE, CUSTODIAN, OR ANYTHING ELSE. Do not infer a role from an address."
ERM-014,ENT-007,"McCalla Raymer Leibert Pierce, LLP",foreign limited liability partnership,foreclosure-counsel,SRC-010,Doc. 34 at 3 n.4,2025-07,,"McCalla Raymer Pierce, LLC","Ledger payee from 08/12/2024, ELEVEN MONTHS BEFORE the July 2025 retention the court's footnote recites. Under two different entity names. See TRF-006."
