claim_id,type,count_no,short_name,legal_basis,asserted_by,asserted_against,elements,element_status,supporting_proposition_ids,known_weaknesses,dispositive_rulings,status,source_ids
CLM-001,claim,I,RESPA - dual tracking and NOE/RFI failures,"12 U.S.C. 2605; 12 C.F.R. 1024.35, 1024.36, 1024.41",ENT-001;ENT-002,ENT-004;ENT-005;ENT-003,federally related mortgage loan;defendant is a servicer;qualifying NOE/RFI received at the designated address;failure to acknowledge or respond as required;actual damages or pattern-and-practice,pleaded-only;pleaded-only;gap;pleaded-only;gap,PROP-004;PROP-005,"No NOE/RFI document is in this manifest; SRC-012 identifies a specific designated address and CFPB-portal routing may not satisfy it; 1024.41 protections generally attach to a complete loss-mitigation application, which is not documented here",Superseded by the Doc. 35 repleading directive,pleaded,SRC-001;SRC-012
CLM-002,claim,II,FCRA furnisher liability,15 U.S.C. 1681s-2(b),ENT-001;ENT-002,ENT-004;ENT-005,furnisher of information;consumer dispute lodged with a CRA;CRA notice to furnisher under 1681i(a)(2);unreasonable investigation;actual or willful damages,pleaded-only;pleaded-only;gap;gap;pleaded-only,PROP-006,"No ACDV or e-OSCAR record is in this manifest; no credit report is in this manifest; 1681s-2(b) requires CRA notice, and direct disputes to the furnisher do not trigger it",Superseded by the Doc. 35 repleading directive,pleaded,SRC-001
CLM-003,claim,III,FDCPA,"15 U.S.C. 1692e, 1692f, 1692f(6), 1692g",ENT-001;ENT-002,ENT-007;ENT-004;ENT-005,defendant is a debt collector;consumer debt;false or deceptive representation or unfair means;within the limitations period,supported;supported;pleaded-only;gap,PROP-007;PROP-008,"1692k(d) one-year limitations period will bar conduct before 2025-03-02 unless a continuing-violation or discovery theory applies; servicer status under 1692a(6) turns on default status at acquisition",Superseded by the Doc. 35 repleading directive,pleaded,SRC-001;SRC-012
CLM-004,claim,IV,Breach of contract and breach of loan modification,Georgia contract law,ENT-001;ENT-002,ENT-004;ENT-005;ENT-003,valid contract;plaintiff performance;material breach;damages,supported;gap;pleaded-only;pleaded-only,PROP-004;PROP-009,"No executed loan modification agreement is in this manifest; the $5,200 wire on which performance is pleaded does not appear in SRC-013",Superseded by the Doc. 35 repleading directive,pleaded,SRC-001
CLM-005,claim,V,Breach of the implied covenant of good faith and fair dealing,O.C.G.A. 11-1-304,ENT-001;ENT-002,ENT-004;ENT-005;ENT-003,existing contract;discretion exercised in bad faith;damages,supported;pleaded-only;pleaded-only,PROP-009,"Georgia generally treats this as dependent on an underlying breach rather than an independent tort - requires research",Superseded by the Doc. 35 repleading directive,pleaded,SRC-001
CLM-006,claim,VI,Attempted wrongful foreclosure,Georgia law,ENT-001;ENT-002,ENT-003;ENT-004;ENT-007,published false advertisement of foreclosure;knowledge of falsity or reckless disregard;concerning the debtor's financial condition;special damages,supported;pleaded-only;pleaded-only;pleaded-only,PROP-010,"Requires special damages proximately caused by the publication; the Mercer Advisors offer rescission is pleaded but no document evidences it in this manifest",Superseded by the Doc. 35 repleading directive,pleaded,SRC-001
CLM-007,claim,VII,Slander of title,O.C.G.A. 51-9-11,ENT-001;ENT-002,ENT-003;ENT-006;ENT-004,false statement about title;malice;publication;special damages,pleaded-only;pleaded-only;supported;pleaded-only,PROP-011,"The recorded assignment is a public record; establishing falsity and malice as to a recorded instrument is demanding",Superseded by the Doc. 35 repleading directive,pleaded,SRC-001
CLM-008,claim,VIII,Georgia Fair Business Practices Act,O.C.G.A. 10-1-390 et seq.,ENT-001;ENT-002,ENT-004;ENT-005;ENT-003,unfair or deceptive act;in the consumer marketplace;ante litem notice under 10-1-399(b);damages,pleaded-only;gap;pleaded-only;pleaded-only,n/a,"GFBPA generally reaches the consumer marketplace rather than a private transaction between two parties, and the ante litem notice is not documented in this manifest",Superseded by the Doc. 35 repleading directive,pleaded,SRC-001
CLM-009,claim,IX,Declaratory and injunctive relief,"28 U.S.C. 2201-2202; Fed. R. Civ. P. 65; O.C.G.A. 9-11-65",ENT-001;ENT-002,ENT-003;ENT-004;ENT-005;ENT-006;ENT-007,actual justiciable controversy;entitlement to declaration;irreparable harm for injunctive relief,supported;pleaded-only;foreclosed,PROP-012,"The PI was denied as moot because no sale is scheduled; the same mootness reasoning will recur on any renewed motion absent a newly noticed sale",Doc. 34 denied the PI as moot (SRC-010 at 25),pleaded,SRC-001;SRC-010
DEF-001,defense,n/a,Shotgun pleading / Rule 8 and 10(b) insufficiency,"Fed. R. Civ. P. 8(a), 10(b); Weiland",ENT-003;ENT-004;ENT-007,ENT-001;ENT-002,complaint falls within one of the four Weiland categories,proved,n/a,"Sustained once already; Doc. 35 cautions that another failure may lead to a dismissal recommendation",Doc. 35 held the original complaint a type-one shotgun pleading (SRC-011 at 7),surviving,SRC-011
