txn_id,source_id,pinpoint,trans_date,effective_date,due_date,description_verbatim,code_verbatim,flag_verbatim,amount_verbatim,principal_verbatim,interest_verbatim,fees_verbatim,balance_after_verbatim,money_type_verbatim,classification,pairs_with,net_effect,reading,col_ambiguous,used_in_computation,confidence,basis,notes
TXN-001,SRC-013,p.5 row 08/05/22,08/05/22,08/05/22,08/01/22,Principal Only Payment,0,0,"-$149,650.00","-$149,650.00",,,"$149,650.00",PriorServicer,booking,,"establishes opening principal $149,650.00","Opening-balance booking at origination, not a payment",no,yes,high,"The balance column goes from nothing to $149,650.00 on this row. No money moved to or from the borrower here; the entry establishes the balance. Classified booking, not payment, and not an anomalous negative payment.",THE ANNOTATED SPREADSHEET SRC-007 LABELS THIS ROW 'RED FLAG: NEGATIVE principal payment'. That characterisation is wrong and must not be advanced.
TXN-002,SRC-013,p.5 row 08/05/22 (late charge col),08/05/22,08/05/22,08/01/22,[no separate transaction line],,,,,,"Late Charge Balance $1,145.62","$149,650.00",PriorServicer,unexplained,,"late-charge balance of $1,145.62 present at origination",A late-charge BALANCE appears on the origination row with no Late Charge Assess line anywhere before it,no,no,medium,"There is no transaction line creating this balance. It is carried, not assessed, on the face of this document.",Leading innocent explanation: a data-conversion artefact carried in from a prior system at boarding. SRC-021 P28 pleads it as unexplained. Not used in any computation.
TXN-003,SRC-013,p.5 row 09/01/22,09/01/22,09/01/22,09/01/22,Regular Payment,0,0,"$2,040.30","$1,504.05",$536.25,,"$148,145.95",PriorServicer,posted,,,Applied; not reversed,no,yes,high,,
TXN-004,SRC-013,p.5 row 10/03/22,10/03/22,10/03/22,10/01/22,Regular Payment,0,0,"$2,029.29",$738.14,"$1,291.15",,"$147,407.81",PriorServicer,posted,,,Applied; not reversed,no,yes,high,,
TXN-005,SRC-013,p.5 row 10/27/22,10/27/22,10/27/22,10/01/22,Principal Only Payment,0,0,$89.37,$89.37,,,"$147,318.44",PriorServicer,posted,,,Applied; not reversed,no,yes,high,,
TXN-006,SRC-013,p.5 row 11/01/22,11/01/22,11/01/22,11/01/22,Regular Payment,0,0,"$2,028.79",$660.06,"$1,368.73",,"$146,658.38",PriorServicer,posted,,,Applied; not reversed,no,yes,high,,
TXN-007,SRC-013,p.5 row 11/16/22,11/16/22,11/16/22,11/01/22,Principal Only Payment,0,0,"-$2,900.00","-$2,900.00",,,"$149,558.38",PriorServicer,draw,,"principal increases $146,658.38 -> $149,558.38",Most consistent with an additional draw on the line of credit,no,yes,medium,"Searched the whole 42-month ledger for a matching +$2,900.00 credit; none exists in either direction. A negative with no pair on a revolving line is most consistent with a draw posted through the only principal code the system has.",[UNRESOLVED] as to cause without the servicer's transaction-code key. SRC-007 labels this 'RED FLAG #1'; that is premature.
TXN-008,SRC-013,p.5 row 12/01/22,12/01/22,12/01/22,12/01/22,Regular Payment,0,7,"$2,028.22",$754.22,"$1,274.00",,"$148,804.16",PriorServicer,reversed,TXN-009;TXN-010,net zero after TXN-010 repost,"Posted, reversed 5 days later, re-posted 12/15",no,yes,high,,
TXN-009,SRC-013,p.5 row 12/06/22,12/06/22,12/06/22,12/01/22,Regular Payment,7,0,"-$2,028.22",-$754.22,"-$1,274.00",,"$149,558.38",PriorServicer,reversal-of,TXN-008;TXN-010,reverses TXN-008,Rev Code 7,no,yes,high,,
TXN-010,SRC-013,p.5 row 12/15/22,12/15/22,12/15/22,12/01/22,Regular Payment,0,0,"$2,028.22",$754.22,"$1,274.00",,"$148,732.38",PriorServicer,reapplied,TXN-008;TXN-009,payment ultimately credited,Re-post of the reversed 12/01 payment,no,yes,high,,
TXN-011,SRC-013,p.5 row 12/15/22 (principal only),12/15/22,12/15/22,12/01/22,Principal Only Payment,0,0,$71.78,$71.78,,,"$149,486.60",PriorServicer,posted,,,,no,yes,high,,
TXN-012,SRC-013,p.5 row 01/30/23,01/30/23,01/30/23,01/01/23,Principal Only Payment,0,0,$132.03,$132.03,,,"$148,600.35",PriorServicer,posted,,,,no,yes,high,,
TXN-013,SRC-013,p.5 row 01/30/23 (regular),01/30/23,01/30/23,01/01/23,Regular Payment,0,0,"$2,067.97",$686.98,"$1,380.99",,"$147,913.37",PriorServicer,posted,,,,no,yes,high,,
TXN-014,SRC-013,p.5 row 01/30/23 (late chg),01/30/23,01/30/23,01/01/23,Late Charge Assess,0,0,-$103.39,,,-$103.39,"$147,913.37",PriorServicer,fee-assessed,,,,no,yes,high,,
TXN-015,SRC-013,p.5 row 02/09/23,02/09/23,02/09/23,01/01/23,Principal Only Payment,0,0,"-$1,700.00","-$1,700.00",,,"$149,613.37",PriorServicer,draw,,"principal increases by $1,700.00",Most consistent with an additional draw,no,yes,medium,"Same test as TXN-007: no matching +$1,700.00 credit anywhere in the ledger.",[UNRESOLVED] as to cause. SRC-007 labels this 'RED FLAG #4'.
TXN-016,SRC-013,p.4 row 03/14/23 (LC waive),03/14/23,03/14/23,03/01/23,Late Charge Waive,0,0,$103.39,,,$103.39,"$149,509.99",PriorServicer,fee-waived,TXN-020,waiver later re-assessed,,no,yes,high,,
TXN-017,SRC-013,p.4 row 03/14/23 (reg 03/01),03/14/23,03/14/23,03/01/23,Regular Payment,0,7,"$2,089.74",$892.69,"$1,197.05",,"$148,617.30",PriorServicer,reversed,TXN-018,reversed 9 days later,,no,yes,high,,
TXN-018,SRC-013,p.4 row 03/23/23 (reg 03/01),03/23/23,03/23/23,03/01/23,Regular Payment,7,0,"-$2,089.74",-$892.69,"-$1,197.05",,"$149,509.99",PriorServicer,reversal-of,TXN-017,reverses TXN-017,,no,yes,high,,
TXN-019,SRC-013,p.4 row 03/14/23 (reg 02/01),03/14/23,03/14/23,02/01/23,Regular Payment,0,7,"$2,067.64",$734.77,"$1,332.87",,"$147,882.53",PriorServicer,reversed,TXN-021,reversed 9 days later,,no,yes,high,,
TXN-020,SRC-013,p.4 row 03/23/23 (late chg),03/23/23,03/23/23,02/01/23,Late Charge Assess,0,0,-$103.39,,,-$103.39,"$149,509.99",PriorServicer,fee-assessed,TXN-016,re-assesses the charge waived on 03/14,The 03/14 waiver is undone on 03/23 together with the payment reversals,no,yes,high,,
TXN-021,SRC-013,p.4 row 03/23/23 (reg 02/01),03/23/23,03/23/23,02/01/23,Regular Payment,7,0,"-$2,067.64",-$734.77,"-$1,332.87",,"$148,617.30",PriorServicer,reversal-of,TXN-019,reverses TXN-019,,no,yes,high,,
TXN-022,SRC-013,p.4 row 03/23/23 (prin only),03/23/23,03/23/23,03/01/23,Principal Only Payment,0,0,-$103.38,-$103.38,,,"$149,613.37",PriorServicer,reversal-of,TXN-072,reverses the 03/14 principal-only of $103.38,Pairs with the 03/14/23 principal-only entry of the same amount,no,yes,medium,Same-amount opposite entry nine days later.,
TXN-023,SRC-013,p.4 row 09/13/23,09/13/23,09/13/23,01/01/23,Unapplied Payment,0,0,"$19,588.88",,,,"$149,613.37 (unappl $19,588.88)",PriorServicer,suspense-in,TXN-024,"$19,588.88 into suspense",THE SEPTEMBER 2023 REINSTATEMENT CREDIT,no,yes,high,,SRC-021 P42 and the SLS CFPB response describe reinstatement funds received 09/13/23 bringing the account current. This is that credit.
TXN-024,SRC-013,pp.3-4 rows 09/14/23,09/14/23,09/14/23,02/01/23 - 10/01/23,Regular Payment / Unapplied Payment (approx. 18 offsetting rows),0,0,various,various,various,,"$148,149.47 by end of cluster",PriorServicer,suspense-out,TXN-023,nine monthly instalments plus one principal-only applied out of suspense,Distribution of the reinstatement credit across due dates 02/2023-10/2023,yes,no,medium,Several rows in this cluster omit printed columns and the per-row running balance cannot be reconciled line by line from the print-out. Treated as one economic event; individual rows excluded from arithmetic.,"Aggregate applied computes to $19,518.88 against a $19,588.88 credit - see DISP-002."
TXN-025,SRC-013,p.3 row 09/15/23,09/15/23,09/15/23,10/01/23,Principal Only Payment,0,0,"$10,000.00","$10,000.00",,,"$132,095.76",PriorServicer,reversed,TXN-026,net zero after TXN-026,"$10,000 principal curtailment; principal drops $142,095.76 -> $132,095.76",no,yes,high,,
TXN-026,SRC-013,p.3 row 09/26/23,09/26/23,09/26/23,10/01/23,Principal Only Payment,0,0,"-$10,000.00","-$10,000.00",,,"$142,095.76",PriorServicer,reversal-of,TXN-025,reverses TXN-025 eleven days later,Principal restored to the pre-payment figure; no explanation on the ledger's face,no,yes,high,"Matching opposite entry eleven days later. This IS a reversal - contrast TXN-007 and TXN-015, which have no pair.",SRC-021 P30 pleads this. The pleading calls the reversing entry a 'Principal Adjustment'; the ledger calls it 'Principal Only Payment'. See DISP-004.
TXN-027,SRC-013,p.3 row 09/26/23 (unappl),09/26/23,09/26/23,10/01/23,Unapplied Payment,0,0,$855.00,,,,unappl $855.00,PriorServicer,suspense-in,TXN-028,net zero after TXN-028,$855 received into suspense,no,yes,high,,
TXN-028,SRC-013,p.3 row 10/11/23,10/11/23,10/11/23,10/01/23,Unapplied Payment,0,0,-$855.00,,,,unappl $0.00,PriorServicer,suspense-out,TXN-027,reverses TXN-027 fifteen days later,"$855 leaves suspense with no application to principal, interest or fees on the face of the ledger",no,yes,high,Matching opposite entry. The money enters suspense and leaves; no corresponding Regular Payment or fee application appears on the same or a nearby date.,SRC-021 P31 pleads the $855 was 'rejected'. The ledger shows in-and-out of suspense; it does not show a return to the borrower. See DISP-005.
TXN-029,SRC-013,p.3 row 12/21/23 (reg 11/01),12/21/23,12/21/23,11/01/23,Regular Payment,0,0,"$2,081.81",$764.19,"$1,317.62",,"$140,288.02",PriorServicer,posted,,,,no,yes,high,,Part of the 12/21/23 cluster - see DISP-001
TXN-030,SRC-013,p.3 row 12/21/23 (reg 12/01),12/21/23,12/21/23,12/01/23,Regular Payment,0,0,"$2,082.46",$851.95,"$1,230.51",,"$141,052.21",PriorServicer,posted,,,,no,yes,high,,Part of the 12/21/23 cluster
TXN-031,SRC-013,p.3 row 12/21/23 (prin only),12/21/23,12/21/23,12/01/23,Principal Only Payment,0,0,$191.60,$191.60,,,"$141,904.16",PriorServicer,posted,,,,no,yes,high,,Part of the 12/21/23 cluster
TXN-032,SRC-013,p.3 row 12/21/23 (late chg assess),12/21/23,12/21/23,12/01/23,Late Charge Assess,0,0,-$104.12,,,-$104.12,"$141,052.21",PriorServicer,fee-assessed,,,,no,yes,high,,Part of the 12/21/23 cluster
TXN-033,SRC-013,p.3 row 12/21/23 (late chg waive),12/21/23,12/21/23,12/01/23,Late Charge Waive,0,0,$729.13,,,$729.13,"$141,904.16",PriorServicer,fee-waived,,,,yes,no,medium,$729.13 appears in the late-charge column on a row whose late-charge BALANCE reads $519.88. The column assignment is not unambiguous on the face of the print-out.,[COL?] - excluded from every computation. Part of the 12/21/23 cluster.
TXN-034,SRC-013,p.3 row 07/07/24,07/07/24,07/07/24,01/01/24,New Loan,0,0,$0.00,,,,"$140,288.02 (LCB $624.00)",None,booking,,Shellpoint boards the loan,"System boarding entry carrying forward principal $140,288.02 and late-charge balance $624.00",no,yes,high,A $0.00 transaction that transfers balances rather than moving money.,SRC-021 P27: every row after this one bears a frozen Due Date of 01/01/24.
TXN-035,SRC-013,p.3 row 05/06/24,05/06/24,05/06/24,11/01/23,Property Inspection Assess,0,0,-$30.00,,,,"$140,288.02",PriorServicer,fee-assessed,,,,no,yes,high,,Payee: Check #:46784856. Principal unchanged.
TXN-036,SRC-013,p.3 row 06/04/24,06/04/24,06/04/24,11/01/23,Title Cost Assess,0,0,-$175.00,,,,"$140,288.02",PriorServicer,fee-assessed,,,,no,yes,high,,Payee: Check #:46313065. Principal unchanged.
TXN-037,SRC-013,p.3 row 06/05/24,06/05/24,06/05/24,11/01/23,Attorney Cost Assess,0,0,-$570.00,,,,"$140,288.02",PriorServicer,fee-assessed,,,,no,yes,high,,Payee: Check #:46313066. Principal unchanged.
TXN-038,SRC-013,p.3 row 06/11/24,06/11/24,06/11/24,11/01/23,Attorney Cost Assess,0,0,-$665.00,,,,"$140,288.02",PriorServicer,fee-assessed,,,,no,yes,high,,Payee: Check #:46313067. Principal unchanged.
TXN-039,SRC-013,p.3 row 08/12/24,08/12/24,08/12/24,01/01/24,FC Costs Disb,0,0,-$190.00,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: McCalla Raymer Pierce, LLC. Principal unchanged."
TXN-040,SRC-013,p.3 row 08/12/24,08/12/24,08/12/24,01/01/24,Certified Mail Cost Disb,0,0,-$8.16,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: McCalla Raymer Pierce, LLC. Principal unchanged."
TXN-041,SRC-013,p.3 row 08/13/24,08/13/24,08/13/24,01/01/24,BPO/Aprsl Cost Disb,0,0,-$100.00,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,Payee: LRES CORP. Principal unchanged.
TXN-042,SRC-013,p.2 row 08/28/24,08/28/24,08/28/24,01/01/24,FC Costs Disb,0,0,-$190.00,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: McCalla Raymer Pierce, LLC. Principal unchanged."
TXN-043,SRC-013,p.2 row 09/11/24,09/11/24,09/11/24,01/01/24,FC Costs Disb,0,0,-$440.00,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: McCalla Raymer Pierce, LLC. Principal unchanged."
TXN-044,SRC-013,p.2 row 05/02/25,05/02/25,05/02/25,01/01/24,Unapplied Payment,0,2,"$1,899.56",,,,"$140,288.02",Web Payment,suspense-in,TXN-045,,,no,yes,high,,2025 Trial Payment Period tender per SRC-021 P29
TXN-045,SRC-013,p.2 row 05/08/25,05/08/25,05/08/25,01/01/24,Unapplied Payment,2,0,"-$1,899.56",,,,"$140,288.02",Web Payment,suspense-out,TXN-044,,,no,yes,high,,reverses TXN-044
TXN-046,SRC-013,p.2 row 05/08/25,05/08/25,05/08/25,01/01/24,NSF Fee Assessment,0,0,$0.00,,,,"$140,288.02",None,fee-assessed,,,,no,yes,high,,NSF recorded in the amount of $0.00
TXN-047,SRC-013,p.2 row 05/10/25,05/10/25,05/10/25,01/01/24,Unapplied Payment,0,2,"$1,899.56",,,,"$140,288.02",Web Payment,suspense-in,TXN-048,,,no,yes,high,,2025 Trial Payment Period tender per SRC-021 P29
TXN-048,SRC-013,p.2 row 05/15/25,05/15/25,05/15/25,01/01/24,Unapplied Payment,2,0,"-$1,899.56",,,,"$140,288.02",Web Payment,suspense-out,TXN-047,,,no,yes,high,,reverses TXN-047
TXN-049,SRC-013,p.2 row 05/15/25,05/15/25,05/15/25,01/01/24,NSF Fee Assessment,0,0,$0.00,,,,"$140,288.02",None,fee-assessed,,,,no,yes,high,,NSF recorded in the amount of $0.00
TXN-050,SRC-013,p.2 row 05/17/25,05/17/25,05/17/25,01/01/24,Unapplied Payment,0,0,"$1,899.56",,,,"$140,288.02",Web Payment,suspense-in,NONE,,,no,yes,high,"No counterpart exists. The three earlier 2025 tenders of the same amount were each followed by a reversal booked at $0.00; this one was not. The amount equals the Ending Unapplied Balance on the same statement, which is consistent with money received and never applied. It does not establish that, because the servicer's cash-application detail and transaction-code key have not been produced. See GAP-014.",NOT REVERSED - remains as the Ending Unapplied Balance
TXN-051,SRC-013,p.2 row 07/25/25,07/25/25,07/25/25,01/01/24,Attorney Cost Disb,0,0,-$667.50,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: MCCALLA RAYMER LIEBERT PIERCE, LLP. Principal unchanged."
TXN-052,SRC-013,p.2 row 08/06/25,08/06/25,08/06/25,01/01/24,FC Costs Disb,0,0,-$778.75,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: MCCALLA RAYMER LIEBERT PIERCE, LLP. Principal unchanged."
TXN-053,SRC-013,p.2 row 08/06/25,08/06/25,08/06/25,01/01/24,FC Costs Disb,0,0,-$222.50,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: MCCALLA RAYMER LIEBERT PIERCE, LLP. Principal unchanged."
TXN-054,SRC-013,p.2 row 08/06/25,08/06/25,08/06/25,01/01/24,Certified Mail Cost Disb,0,0,-$8.86,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: MCCALLA RAYMER LIEBERT PIERCE, LLP. Principal unchanged."
TXN-055,SRC-013,p.2 row 08/19/25,08/19/25,08/19/25,01/01/24,BPO/Aprsl Cost Disb,0,0,-$105.00,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: ClearCapital.com, Inc. Principal unchanged."
TXN-056,SRC-013,p.2 row 09/08/25,09/08/25,09/08/25,01/01/24,FC Costs Disb,0,0,-$222.50,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: MCCALLA RAYMER LIEBERT PIERCE, LLP. Principal unchanged."
TXN-057,SRC-013,p.1 row 10/07/25,10/07/25,10/07/25,01/01/24,FC Costs Disb,0,0,-$440.00,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: MCCALLA RAYMER LIEBERT PIERCE, LLP. Principal unchanged."
TXN-058,SRC-013,p.1 row 12/11/25,12/11/25,12/11/25,01/01/24,Attorney Cost Disb,0,0,-$667.50,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: MCCALLA RAYMER LIEBERT PIERCE, LLP. Principal unchanged."
TXN-059,SRC-013,p.1 row 01/02/26,01/02/26,01/02/26,01/01/24,FC Costs Disb,0,0,-$778.75,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: MCCALLA RAYMER LIEBERT PIERCE, LLP. Principal unchanged."
TXN-060,SRC-013,p.1 row 01/07/26,01/07/26,01/07/26,01/01/24,BPO/Aprsl Cost Disb,0,0,-$134.00,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,Payee: eStreet Appraisal Management LLC. Principal unchanged.
TXN-061,SRC-013,p.1 row 01/13/26,01/13/26,01/13/26,01/01/24,FC Costs Disb,0,0,-$222.50,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: MCCALLA RAYMER LIEBERT PIERCE, LLP. Principal unchanged."
TXN-062,SRC-013,p.1 row 01/13/26,01/13/26,01/13/26,01/01/24,Certified Mail Cost Disb,0,0,-$8.86,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: MCCALLA RAYMER LIEBERT PIERCE, LLP. Principal unchanged."
TXN-063,SRC-013,p.1 row 01/21/26,01/21/26,01/21/26,01/01/24,FC Costs Disb,0,0,-$222.50,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: MCCALLA RAYMER LIEBERT PIERCE, LLP. Principal unchanged."
TXN-064,SRC-013,p.1 row 01/29/26,01/29/26,01/29/26,01/01/24,Attorney Cost Disb,0,0,-$667.50,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: MCCALLA RAYMER LIEBERT PIERCE, LLP. Principal unchanged."
TXN-065,SRC-013,p.1 row 02/12/26,02/12/26,02/12/26,01/01/24,FC Costs Disb,0,0,-$440.00,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: MCCALLA RAYMER LIEBERT PIERCE, LLP. Principal unchanged."
TXN-066,SRC-013,p.1 row 02/18/26,02/18/26,02/18/26,01/01/24,FC Costs Disb,0,0,-$222.50,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: MCCALLA RAYMER LIEBERT PIERCE, LLP. Principal unchanged."
TXN-067,SRC-013,p.1 row 02/27/26,02/27/26,02/27/26,01/01/24,FC Costs Disb,0,0,-$222.50,,,,"$140,288.02",ACH,fee-disbursed,,,,no,yes,high,,"Payee: MCCALLA RAYMER LIEBERT PIERCE, LLP. Principal unchanged."
